"","V7221","V7101","V7206","V8512"
"290",0,0,1,0
"291",0,1,0,0
"292",1,0,1,0
"293",0,0,1,1
"294",1,0,1,1
"295",0,0,1,1
"296",0,0,1,0
"297",1,0,1,1
"298",0,0,1,1
"299",0,0,1,1
"300",0,0,1,0
"301",0,1,1,1
"302",0,0,1,1
"303",0,0,1,1
"304",1,0,1,1
"305",1,0,1,0
"306",0,0,1,1
"307",0,0,0,1
"308",1,0,1,1
"309",1,0,1,1
"310",0,0,1,1
"311",0,0,1,1
"312",1,0,1,1
"313",1,1,1,1
"314",1,0,1,1
"315",0,0,1,1
"316",1,1,0,1
"317",0,0,1,0
"318",0,0,1,1
"319",1,0,0,1
"320",0,0,1,1
"321",1,0,1,1
"322",0,0,0,0
"323",1,0,1,1
"324",1,0,1,1
"325",0,0,0,1
"326",1,0,1,1
"327",0,1,1,1
"328",1,0,0,1
"329",0,1,1,1
"330",0,1,0,0
"331",0,0,1,0
"332",0,0,0,1
"333",1,0,1,1
"334",0,0,1,1
"335",1,0,1,1
"336",1,0,0,1
"337",1,0,0,1
"338",0,0,1,1
"339",0,1,1,0
"340",0,0,1,0
"341",1,0,0,1
"342",1,0,1,1
"343",0,1,1,0
"344",1,0,1,1
"345",0,1,1,0
"346",0,0,0,1
"347",0,0,1,1
"348",1,0,1,1
"349",0,0,1,0
"350",1,1,1,0
"351",1,0,0,1
"352",0,0,0,1
"353",1,0,1,1
"354",0,1,0,1
"355",0,0,1,1
"356",0,1,1,0
"357",0,0,0,0
"358",0,1,0,0
"359",1,0,1,0
"360",0,0,1,1
"361",0,0,1,0
"362",0,0,1,1
"363",1,0,1,1
"364",1,0,1,1
"365",0,0,1,1
"366",0,0,1,1
"367",1,0,1,1
"368",0,0,1,1
"369",1,0,0,1
"370",0,1,1,1
"371",0,1,0,1
"372",0,1,0,1
"373",0,0,1,1
"374",0,0,1,0
"375",0,0,0,1
"376",0,1,1,0
"377",0,0,1,1
"378",1,0,0,1
"379",0,1,0,0
"380",1,0,0,1
"381",0,0,1,1
"382",0,0,1,1
"383",1,0,0,0
"384",0,0,1,1
"385",0,0,1,1
"386",0,0,1,1
"387",1,0,0,1
"388",0,1,0,1
"389",1,0,1,1
"390",1,0,1,1
"391",0,0,1,1
"392",1,1,0,1
"393",1,0,1,1
"394",0,1,1,0
"395",0,1,0,0
"396",0,0,1,1
"397",0,0,0,0
"398",0,1,1,0
"399",0,0,1,0
"400",1,0,1,1
"401",0,1,1,1
"402",1,0,1,1
"403",0,0,1,1
"404",0,0,1,0
"405",1,0,1,1
"406",0,0,1,1
"407",0,0,0,1
"408",1,0,1,1
"409",0,0,0,1
"410",0,0,1,1
"411",0,1,1,1
"412",0,0,0,1
"413",1,0,1,1
"414",1,0,0,1
"415",1,0,1,1
"416",0,0,0,1
"417",1,0,1,1
"418",0,1,1,0
"419",1,0,1,1
"420",0,0,0,1
"421",1,0,1,1
"422",1,0,1,1
"423",0,0,0,1
"424",0,0,1,1
"425",0,0,0,0
"426",0,0,0,1
"427",0,0,1,1
"428",0,1,0,1
"429",0,0,1,0
"430",0,1,0,1
"431",0,0,1,1
"432",1,0,1,1
"433",1,0,1,1
"434",1,0,1,1
"435",1,0,0,0
"436",0,1,1,1
"437",0,0,1,1
"438",0,0,0,1
"439",1,0,0,0
"440",0,0,0,0
"441",0,1,1,1
"442",0,1,1,0
"443",0,0,1,1
"444",1,0,1,1
"445",1,0,0,1
"446",0,1,1,1
"447",0,0,1,1
"448",0,1,0,0
"449",0,0,1,1
"450",0,1,0,1
"451",0,0,1,1
"452",0,1,0,1
"453",0,0,1,1
"454",0,1,1,0
"455",0,0,0,0
"456",0,0,1,1
"457",0,1,0,1
"458",0,0,0,0
"459",1,1,0,1
"460",1,0,1,0
"461",1,0,1,1
"462",0,1,1,0
"463",1,0,1,1
"464",0,0,1,0
"465",0,0,1,1
"466",0,1,1,0
"467",1,0,1,1
"468",0,0,0,1
"469",0,0,1,0
"470",1,0,1,1
"471",1,0,0,1
"472",0,1,1,1
"473",1,0,1,1
"474",0,0,1,0
"475",0,1,1,1
"476",0,0,1,1
"477",0,0,0,1
"478",0,0,1,1
"479",0,1,1,1
"480",0,0,1,1
"481",1,0,1,1
"482",0,0,0,0
"483",1,0,1,0
"484",0,0,0,0
"485",0,0,1,1
"486",0,0,0,1
"487",1,0,1,1
"488",0,0,1,1
"489",0,0,1,1
"490",0,0,0,1
"491",1,0,1,1
"492",0,1,0,0
"493",1,0,1,1
"494",1,0,1,1
"495",1,0,0,0
"496",1,0,1,1
"497",0,0,1,1
"498",1,0,1,1
"499",0,0,1,0
"500",1,0,1,1
"501",1,0,1,1
"502",0,0,1,0
"503",0,0,0,1
"504",1,0,1,1
"505",0,0,0,1
"506",0,0,1,1
"507",1,0,1,1
"508",1,0,1,0
"509",0,0,1,1
"510",0,0,0,1
"511",0,0,1,0
"512",0,1,1,1
"513",1,0,1,1
"514",1,0,0,1
"515",1,0,1,1
"516",0,0,1,0
"517",1,0,1,1
"518",1,0,1,1
"519",1,0,1,0
"520",0,0,1,1
"521",0,1,1,0
"522",0,0,1,0
"523",0,0,1,1
"524",0,1,1,0
"525",1,0,1,0
"526",0,0,1,0
"527",0,1,1,1
"528",1,0,1,1
"529",0,0,1,1
"530",1,0,1,1
"531",0,0,0,1
"532",0,0,1,1
"533",0,0,0,0
"534",0,0,1,1
"535",0,0,1,1
"536",0,0,1,1
"537",1,0,1,1
"538",0,0,1,1
"539",0,0,1,1
"540",1,0,1,1
"541",1,0,1,1
"542",0,0,1,1
"543",1,0,1,1
"544",0,1,1,1
"545",0,0,1,1
"546",0,0,0,1
"547",0,0,0,0
"548",0,0,1,1
"549",1,0,1,1
"550",0,0,1,1
"551",0,1,0,0
"552",0,0,1,0
"553",0,0,0,1
"554",0,0,1,1
"555",1,0,1,1
"556",0,0,1,1
"557",1,0,1,1
"558",0,1,1,1
"559",0,0,1,0
"560",1,0,0,1
"561",0,0,1,1
"562",0,0,1,1
"563",0,0,0,0
"564",1,0,0,1
"565",1,0,1,1
"566",0,0,1,1
"567",0,0,1,1
"568",0,1,1,1
"569",0,0,1,0
"570",0,0,1,1
"571",1,0,1,0
"572",0,1,0,1
"573",1,0,1,1
"574",0,0,1,1
"575",0,0,1,0
"576",1,1,0,0
"577",1,0,1,1
"578",0,1,1,0
"579",0,0,1,1
"580",0,1,1,1
"581",0,1,0,0
"582",1,0,1,1
"583",0,0,1,1
"584",0,0,1,0
"585",1,0,1,1
"586",0,0,1,1
"587",0,0,1,1
"588",0,1,0,1
"589",0,0,1,1
"590",0,1,1,1
"591",1,0,1,0
"592",1,0,0,1
"593",0,0,0,1
"594",0,1,0,1
"595",0,1,1,0
"596",0,0,1,0
"597",0,0,0,1
"598",1,0,1,1
"599",0,1,1,1
"600",0,0,1,1
"601",0,0,1,1
"602",0,0,1,1
"603",1,0,1,0
"604",0,0,0,0
"605",0,1,1,0
"606",1,0,1,1
"607",0,0,1,1
"608",1,0,1,1
"609",0,1,0,1
"610",1,0,1,0
"611",0,1,1,0
"612",0,0,1,1
"613",1,0,1,1
"614",0,1,0,0
"615",0,1,1,0
"616",0,0,1,1
"617",1,0,1,0
"618",0,1,1,1
"619",1,1,1,1
"620",0,0,1,1
"621",1,0,1,1
"622",0,1,1,1
"623",0,0,1,1
"624",1,0,0,1
"625",1,0,1,1
"626",0,0,1,1
"627",1,0,1,1
"628",0,0,1,0
"629",0,1,0,1
"630",1,0,1,1
"631",0,1,0,1
"632",1,0,1,1
"633",1,1,1,1
"634",1,0,1,1
"635",1,0,0,1
"636",1,0,0,1
"637",1,0,1,0
"638",0,0,1,1
"639",0,1,1,0
"640",1,0,1,1
"641",0,1,1,1
"642",0,0,1,0
"643",0,0,0,0
"644",0,1,0,1
"645",1,0,1,1
"646",0,0,1,1
"647",0,0,1,1
"648",0,0,0,1
"649",0,0,1,1
"650",1,1,1,1
"651",1,0,1,1
"652",1,1,1,0
"653",0,0,1,0
"654",1,0,1,1
"655",0,0,1,0
"656",1,1,1,1
"657",1,0,0,0
"658",0,0,1,1
"659",0,0,1,1
"660",0,0,1,1
"661",0,0,1,1
"662",0,0,1,0
"663",1,0,0,1
"664",1,0,1,0
"665",0,0,1,0
"666",1,0,1,1
"667",0,0,1,0
"668",1,0,1,1
"669",0,1,1,0
"670",1,0,0,1
"671",1,0,1,1
"672",1,0,1,1
"673",0,0,0,1
"674",0,0,1,1
"675",0,0,0,1
"676",0,0,1,1
"677",0,0,1,0
"678",1,0,1,1
"679",1,0,1,1
"680",0,0,0,1
"681",1,0,1,1
"682",0,0,1,1
"683",1,1,1,1
"684",0,0,1,1
"685",0,1,1,1
"686",0,0,1,1
"687",1,0,1,1
"688",0,1,0,1
"689",0,0,0,1
"690",0,1,1,0
"691",0,0,1,1
"692",1,0,1,1
"693",0,0,1,1
"694",0,0,1,1
"695",0,0,1,1
"696",0,0,1,1
"697",0,1,1,1
"698",0,0,1,1
"699",1,0,1,1
"700",1,0,1,1
"701",1,0,1,1
"702",1,0,1,1
"703",0,0,1,1
"704",0,0,0,1
"705",1,0,1,1
"706",0,1,0,0
"707",1,0,1,1
"708",0,0,1,1
"709",0,0,1,1
"710",1,0,0,1
"711",0,1,1,0
"712",0,1,1,1
"713",0,0,1,1
"714",1,0,0,0
"715",0,0,0,0
"716",1,1,1,0
"717",1,0,1,1
"718",0,1,1,1
"719",1,0,1,1
"720",0,0,0,1
"721",0,1,0,0
"722",0,0,1,1
"723",1,0,1,1
"724",0,0,1,1
"725",1,0,1,1
"726",1,0,1,1
"727",0,0,1,0
"728",0,0,1,1
"729",0,0,1,0
"730",0,0,1,1
"731",0,0,1,1
"732",0,1,1,1
"733",0,0,1,1
"734",0,1,1,0
"735",0,1,1,1
"736",0,1,1,1
"737",0,0,1,1
"738",0,0,0,1
"739",0,0,1,1
"740",1,0,1,1
"741",0,1,1,1
"742",0,0,1,0
"743",1,0,1,1
"744",0,0,1,0
"745",0,1,1,1
"746",0,1,0,1
"747",0,0,1,0
"748",0,0,1,0
"749",0,0,1,1
"750",1,0,1,1
"751",0,1,0,1
"752",1,0,1,0
"753",1,0,1,0
"754",0,0,1,1
"755",0,0,1,1
"756",0,0,1,1
"757",1,0,1,0
"758",1,0,1,1
"759",0,0,1,1
"760",0,0,1,1
"761",1,0,1,1
"762",0,1,1,0
"763",1,0,0,1
"764",0,0,1,1
"765",0,0,1,0
"766",1,0,1,1
"767",1,0,1,1
"768",0,0,1,0
"769",0,0,1,1
"770",1,0,1,1
"771",0,0,1,1
"772",1,0,1,0
"773",0,1,1,1
"774",0,0,1,0
"775",0,0,1,1
"776",1,0,1,1
"777",0,0,1,1
"778",1,0,1,0
"779",1,0,0,1
"780",0,0,1,1
"781",0,0,1,1
"782",0,0,1,1
"783",0,0,1,0
"784",0,0,1,0
"785",0,0,1,0
"786",0,1,1,0
"787",0,0,1,0
"788",0,0,1,0
"789",0,0,1,1
"790",0,1,0,0
"791",0,0,1,1
"792",0,0,1,1
"793",1,0,0,1
"794",0,0,1,1
"795",1,0,1,1
"796",0,0,0,1
"797",0,0,1,1
"798",0,0,1,0
"799",0,0,1,1
"800",0,0,1,0
"801",1,0,1,1
"802",0,0,1,1
"803",1,0,1,1
"804",0,0,1,1
"805",0,0,1,1
"806",0,0,1,0
"807",1,0,1,1
"808",1,0,1,0
"809",0,1,1,1
"810",1,0,1,1
"811",0,0,1,1
"812",0,0,1,0
"813",0,0,1,0
"814",1,0,1,1
"815",0,0,0,1
"816",1,0,1,1
"817",0,0,1,0
"818",0,1,0,1
"819",1,0,0,1
"820",1,0,1,1
"821",1,0,1,0
"822",0,1,0,1
"823",1,1,1,1
"824",1,0,0,1
"825",0,0,1,1
"826",1,0,1,1
"827",0,0,1,1
"828",0,1,1,0
"829",0,0,1,1
"830",1,0,0,1
"831",1,0,1,1
"832",0,0,0,1
"833",1,0,1,1
"834",0,0,1,0
"835",0,0,1,1
"836",1,0,1,1
"837",0,0,1,1
"838",0,1,0,0
"839",0,0,0,1
"840",0,0,1,1
"841",0,1,1,1
"842",0,0,1,1
"843",1,0,1,1
"844",0,0,1,0
"845",1,1,1,0
"846",0,0,1,0
"847",1,0,1,1
"848",1,0,1,0
"849",1,0,0,1
"850",0,0,1,1
"851",0,0,1,1
"852",0,1,0,0
"853",1,1,1,1
"854",0,1,1,1
"855",1,1,0,1
"856",0,0,1,1
"857",1,0,1,1
"858",0,0,1,1
"859",0,0,1,1
"860",1,0,1,1
"861",0,0,1,0
"862",1,0,1,1
"863",0,0,1,1
"864",0,1,1,1
"865",0,0,1,1
"866",0,0,1,1
"867",0,0,1,1
"868",0,0,1,1
"869",0,1,0,0
"870",0,0,1,1
"871",0,0,1,1
"872",0,0,1,1
"873",1,0,0,0
"874",0,0,1,1
"875",0,0,1,0
"876",0,1,0,1
"877",1,0,1,0
"878",1,0,0,1
"879",0,0,0,0
"880",1,0,1,1
"881",0,1,1,0
"882",0,0,1,1
"883",0,1,0,0
"884",0,0,1,1
"885",1,0,1,0
"886",0,0,1,0
"887",0,0,1,0
"888",1,0,1,1
"889",0,0,1,1
"890",0,0,1,0
"891",0,0,1,1
"892",0,0,0,0
"893",1,1,1,1
"894",1,0,1,0
"895",0,1,1,0
"896",0,0,1,1
"897",0,1,1,1
"898",1,0,1,1
"899",1,0,1,1
"900",1,0,1,1
"901",0,0,1,1
"902",0,0,1,1
"903",1,1,0,1
"904",0,1,1,0
"905",1,0,1,1
"906",0,0,1,1
"907",0,1,0,1
"908",0,0,0,1
"909",0,0,1,1
"910",0,0,1,1
"911",1,0,1,1
"912",1,0,1,1
"913",0,0,0,0
"914",0,1,1,0
"915",1,0,1,0
"916",1,0,1,0
"917",0,1,1,1
"918",0,0,0,0
"919",0,0,0,1
"920",0,0,1,0
"921",1,0,0,1
"922",0,1,1,1
"923",0,0,1,1
"924",0,0,1,0
"925",1,0,1,1
"926",0,1,1,0
"927",0,0,0,1
"928",1,0,0,0
"929",1,1,1,1
"930",1,0,1,1
"931",1,0,0,0
"932",0,1,1,0
"933",0,1,1,1
"934",1,0,1,1
"935",0,1,0,1
"936",1,1,1,1
