"","V7221","V7101","V8509","V8512"
"290",1,0,1,0
"291",0,0,0,1
"292",1,0,0,1
"293",0,0,0,1
"294",0,0,0,0
"295",1,0,0,1
"296",0,0,0,1
"297",1,0,0,1
"298",0,0,0,0
"299",1,1,0,1
"300",0,0,0,1
"301",0,0,0,1
"302",1,0,0,1
"303",1,0,0,0
"304",0,0,0,1
"305",0,0,0,1
"306",1,0,1,1
"307",1,0,0,1
"308",1,0,0,1
"309",0,0,0,1
"310",1,0,0,1
"311",1,1,0,1
"312",1,0,0,1
"313",0,0,0,1
"314",1,1,0,1
"315",0,0,0,0
"316",1,0,0,1
"317",1,0,0,1
"318",0,0,0,1
"319",1,0,0,1
"320",0,0,1,0
"321",1,0,0,1
"322",1,0,0,1
"323",0,0,0,1
"324",1,0,0,1
"325",1,1,0,1
"326",1,0,0,1
"327",0,1,0,1
"328",0,1,0,0
"329",0,0,1,0
"330",0,0,0,1
"331",1,0,0,1
"332",0,0,0,1
"333",1,0,0,1
"334",1,0,0,1
"335",1,0,0,1
"336",0,0,0,1
"337",0,1,0,0
"338",1,0,1,0
"339",1,0,0,1
"340",1,0,0,1
"341",0,1,1,0
"342",1,0,0,1
"343",0,1,1,0
"344",0,0,0,1
"345",0,0,0,1
"346",1,0,0,1
"347",0,0,0,0
"348",1,1,1,0
"349",1,0,0,1
"350",1,0,0,1
"351",1,0,0,1
"352",0,1,1,1
"353",0,0,0,1
"354",1,1,0,0
"355",1,0,0,0
"356",1,1,0,0
"357",1,0,0,0
"358",0,0,1,1
"359",0,0,1,0
"360",0,0,0,1
"361",1,0,0,1
"362",1,0,0,1
"363",0,0,0,1
"364",1,0,1,1
"365",1,0,0,1
"366",0,0,0,1
"367",1,0,0,1
"368",0,1,0,1
"369",0,1,1,1
"370",0,1,0,1
"371",1,0,0,1
"372",1,0,0,0
"373",1,0,0,1
"374",0,1,1,0
"375",1,0,0,1
"376",1,0,0,1
"377",0,1,0,0
"378",1,0,0,1
"379",0,0,0,1
"380",0,0,0,1
"381",1,0,0,0
"382",0,0,0,1
"383",1,0,0,1
"384",0,0,0,1
"385",1,0,0,1
"386",0,1,0,1
"387",1,0,0,1
"388",1,0,0,1
"389",1,0,0,1
"390",1,1,0,1
"391",1,0,0,1
"392",0,1,1,0
"393",0,1,0,0
"394",1,0,0,1
"395",0,0,1,0
"396",0,1,0,0
"397",1,0,1,0
"398",1,0,0,1
"399",0,1,0,1
"400",1,0,0,1
"401",1,0,0,1
"402",1,0,0,0
"403",1,0,0,1
"404",1,0,0,1
"405",0,0,0,1
"406",1,0,0,1
"407",1,0,0,1
"408",0,0,0,1
"409",1,1,0,1
"410",0,0,0,1
"411",1,0,0,1
"412",1,0,0,1
"413",1,0,0,1
"414",0,0,1,1
"415",1,0,0,1
"416",0,1,0,0
"417",1,0,0,1
"418",0,0,0,1
"419",1,0,0,1
"420",1,0,1,1
"421",0,0,0,1
"422",1,0,0,1
"423",0,0,0,0
"424",0,0,0,1
"425",0,0,0,1
"426",0,1,0,1
"427",1,0,0,0
"428",1,1,0,1
"429",0,0,0,1
"430",1,0,0,1
"431",1,0,0,1
"432",1,0,0,1
"433",1,0,0,0
"434",0,1,1,1
"435",0,0,0,1
"436",0,0,0,1
"437",1,0,0,0
"438",1,0,0,0
"439",0,1,0,1
"440",0,1,1,0
"441",0,0,0,1
"442",1,0,0,1
"443",1,0,0,1
"444",1,1,0,1
"445",0,0,0,1
"446",0,1,1,0
"447",0,0,1,1
"448",1,1,0,1
"449",0,0,0,1
"450",0,1,0,1
"451",1,0,0,1
"452",0,1,0,0
"453",0,0,1,0
"454",0,0,0,1
"455",0,1,1,1
"456",1,0,0,0
"457",1,1,0,1
"458",1,0,0,0
"459",1,0,0,1
"460",0,1,0,0
"461",1,0,0,1
"462",0,0,0,0
"463",1,0,0,1
"464",0,1,0,0
"465",1,0,1,1
"466",0,0,0,1
"467",1,0,1,0
"468",1,0,0,1
"469",1,0,0,1
"470",1,1,0,1
"471",1,0,0,1
"472",0,0,1,0
"473",0,1,1,1
"474",1,0,0,1
"475",0,0,0,1
"476",0,0,0,1
"477",0,1,1,1
"478",0,0,0,1
"479",1,0,0,1
"480",0,0,1,0
"481",1,0,1,0
"482",1,0,1,0
"483",0,0,0,1
"484",0,0,0,1
"485",1,0,0,1
"486",1,0,0,1
"487",0,0,0,1
"488",0,0,0,1
"489",1,0,0,1
"490",1,1,0,0
"491",1,0,0,1
"492",1,0,0,1
"493",1,0,0,0
"494",1,0,0,1
"495",0,0,0,1
"496",1,0,0,1
"497",0,0,0,0
"498",1,0,0,1
"499",1,0,0,1
"500",0,0,0,0
"501",0,0,0,1
"502",1,0,0,1
"503",1,0,0,1
"504",1,0,0,1
"505",1,0,0,1
"506",1,0,0,0
"507",0,0,0,1
"508",1,0,0,1
"509",0,0,0,0
"510",0,1,0,1
"511",1,0,0,1
"512",1,0,0,1
"513",1,0,0,1
"514",0,0,0,0
"515",1,0,0,1
"516",1,0,0,1
"517",1,0,0,0
"518",1,0,0,1
"519",0,1,0,0
"520",1,0,0,0
"521",0,0,0,1
"522",0,1,1,0
"523",1,0,0,0
"524",1,0,0,0
"525",0,1,0,1
"526",1,0,0,1
"527",0,0,1,1
"528",1,0,0,1
"529",1,0,0,1
"530",0,0,0,1
"531",1,0,0,0
"532",0,0,0,1
"533",0,0,0,1
"534",0,0,1,1
"535",1,0,0,1
"536",0,0,0,1
"537",0,0,0,1
"538",1,0,0,1
"539",1,0,0,1
"540",0,0,0,1
"541",1,0,0,1
"542",0,1,1,1
"543",1,0,0,1
"544",0,0,0,1
"545",0,0,0,0
"546",0,0,0,1
"547",1,0,1,1
"548",0,0,0,1
"549",0,1,0,0
"550",0,0,0,0
"551",0,0,1,1
"552",0,0,0,1
"553",1,0,0,1
"554",0,0,0,1
"555",1,0,0,1
"556",0,1,0,1
"557",1,0,0,0
"558",1,0,0,1
"559",0,0,0,1
"560",1,0,0,1
"561",1,0,0,0
"562",1,0,0,1
"563",1,0,0,1
"564",0,0,0,1
"565",1,0,0,1
"566",0,1,0,1
"567",0,0,0,0
"568",0,0,1,1
"569",1,0,0,0
"570",0,1,0,1
"571",1,0,0,1
"572",0,0,0,1
"573",0,0,0,0
"574",1,1,1,0
"575",1,0,0,1
"576",0,1,0,0
"577",0,0,0,1
"578",0,1,0,1
"579",0,1,0,0
"580",1,0,0,1
"581",0,0,0,1
"582",1,0,1,0
"583",1,0,0,1
"584",1,0,0,1
"585",0,0,0,1
"586",0,1,1,1
"587",0,0,0,1
"588",1,1,1,1
"589",1,0,0,0
"590",1,0,1,1
"591",0,0,0,1
"592",0,1,1,1
"593",0,1,0,0
"594",0,0,0,0
"595",0,0,0,1
"596",1,0,0,1
"597",0,1,0,1
"598",0,0,0,1
"599",1,0,0,1
"600",0,0,0,1
"601",1,0,0,0
"602",0,0,0,0
"603",0,1,0,0
"604",1,0,0,1
"605",0,0,0,1
"606",1,0,0,1
"607",0,1,0,1
"608",1,0,0,0
"609",0,1,1,0
"610",0,0,0,1
"611",1,0,0,1
"612",0,1,0,0
"613",0,1,0,0
"614",0,0,0,1
"615",1,0,0,0
"616",0,1,0,1
"617",1,1,0,1
"618",1,0,0,1
"619",1,0,0,1
"620",1,1,0,1
"621",1,0,0,1
"622",1,0,0,1
"623",1,0,0,1
"624",0,0,0,1
"625",1,0,0,1
"626",0,0,0,0
"627",1,1,1,1
"628",1,0,0,1
"629",0,1,0,1
"630",1,0,0,1
"631",1,1,0,1
"632",1,0,0,1
"633",1,0,0,1
"634",1,0,0,1
"635",1,0,0,0
"636",0,0,0,1
"637",0,1,0,0
"638",1,0,0,1
"639",0,1,0,1
"640",1,0,1,0
"641",0,0,0,0
"642",0,1,0,1
"643",1,0,0,1
"644",1,0,0,1
"645",0,0,0,1
"646",1,0,0,1
"647",1,0,0,1
"648",1,1,0,1
"649",1,0,0,1
"650",1,1,0,0
"651",0,0,1,0
"652",1,0,0,1
"653",0,0,0,0
"654",1,1,0,1
"655",1,0,0,0
"656",0,0,0,1
"657",0,0,0,1
"658",1,0,0,1
"659",0,0,0,1
"660",0,0,0,0
"661",1,0,0,1
"662",1,0,0,0
"663",0,0,1,0
"664",1,0,0,1
"665",0,0,1,0
"666",1,0,0,1
"667",0,1,1,0
"668",1,0,0,1
"669",1,0,0,1
"670",1,0,0,1
"671",0,0,0,1
"672",1,0,0,1
"673",0,0,0,1
"674",0,0,0,1
"675",0,0,0,0
"676",1,0,0,1
"677",1,0,0,1
"678",0,0,0,1
"679",1,0,0,1
"680",1,0,0,1
"681",1,1,0,1
"682",0,0,1,1
"683",0,1,0,1
"684",1,0,0,1
"685",1,0,0,1
"686",0,1,0,1
"687",0,0,0,1
"688",1,1,0,0
"689",1,0,0,1
"690",1,0,1,1
"691",0,0,1,1
"692",0,0,0,1
"693",1,0,0,1
"694",0,0,0,1
"695",1,1,0,1
"696",0,0,0,1
"697",1,0,0,1
"698",1,0,0,1
"699",1,0,0,1
"700",1,0,0,1
"701",0,0,0,1
"702",1,0,0,1
"703",1,0,0,1
"704",0,1,0,0
"705",1,0,0,1
"706",1,0,1,1
"707",1,0,0,1
"708",1,0,0,1
"709",0,1,0,0
"710",0,1,0,1
"711",0,0,0,1
"712",1,0,0,0
"713",0,0,1,0
"714",1,1,0,0
"715",1,0,0,1
"716",0,1,0,1
"717",1,0,0,1
"718",0,0,0,1
"719",0,1,0,0
"720",0,0,0,1
"721",1,0,0,1
"722",0,0,0,1
"723",1,0,0,1
"724",1,0,0,1
"725",0,0,1,0
"726",0,0,0,1
"727",0,0,0,0
"728",0,0,0,1
"729",0,0,0,1
"730",0,1,0,1
"731",0,0,0,1
"732",0,1,1,0
"733",0,1,0,1
"734",0,1,0,1
"735",0,0,0,1
"736",0,0,0,1
"737",0,0,0,1
"738",1,0,0,1
"739",0,1,0,1
"740",0,0,1,0
"741",1,0,0,1
"742",1,0,0,0
"743",0,1,1,1
"744",1,1,0,1
"745",0,0,0,0
"746",0,0,0,0
"747",0,0,0,1
"748",1,0,0,1
"749",0,1,1,1
"750",1,0,1,0
"751",1,0,0,0
"752",0,0,1,1
"753",0,0,0,1
"754",0,0,0,1
"755",1,0,0,0
"756",1,0,0,1
"757",1,0,0,1
"758",0,0,0,1
"759",1,0,1,1
"760",0,1,1,0
"761",1,0,0,1
"762",1,0,0,1
"763",0,0,0,0
"764",1,0,0,1
"765",1,0,0,1
"766",0,0,0,0
"767",1,0,0,1
"768",1,0,0,1
"769",0,0,0,1
"770",1,0,0,0
"771",0,1,0,1
"772",1,0,0,0
"773",0,0,1,1
"774",1,0,0,1
"775",0,0,0,1
"776",1,0,0,0
"777",1,0,0,1
"778",1,0,0,1
"779",0,0,1,1
"780",0,0,0,1
"781",0,0,0,0
"782",0,0,1,0
"783",1,0,0,0
"784",0,1,1,0
"785",1,0,0,0
"786",1,0,0,0
"787",1,0,0,1
"788",1,1,1,0
"789",0,0,0,1
"790",1,0,0,1
"791",1,0,1,1
"792",1,0,0,1
"793",1,0,0,1
"794",0,0,0,1
"795",1,0,0,1
"796",1,0,1,0
"797",1,0,0,1
"798",0,0,0,0
"799",1,0,0,1
"800",0,0,0,1
"801",1,0,0,1
"802",0,0,0,1
"803",1,0,0,0
"804",1,0,0,1
"805",1,0,1,0
"806",0,1,0,1
"807",1,0,0,1
"808",1,0,0,1
"809",0,0,1,0
"810",0,0,1,0
"811",1,0,0,1
"812",1,0,0,1
"813",1,0,0,1
