"","tabulatedCrossValidated","Freq"
"1","V7101",0.778
"2","V7206",0.222
"3","V7215",0.333
"4","V7221",0.667
"5","V7552",0.333
"6","V8502",0.389
"7","V8505",0.111
"8","V8509",0.167
"9","V8512",0.222
"10","V8514",0.222
"11","V8526",0.111
"12","V8527",0.222
"13","V8528",0.167
"14","V8529",0.056
"15","V8530",0.333
"16","V8531",0.111
"17","V8536",0.278
"18","V8565",0.222
"19",NA,2.944
