"","tabulatedCrossValidated","Freq"
"1","V7202",0.071
"2","V7206",0.235
"3","V7215",0.163
"4","V7552",0.224
"5","V8502",0.52
"6","V8505",0.173
"7","V8509",0.398
"8","V8512",0.235
"9","V8514",0.316
"10","V8526",0.204
"11","V8527",0.388
"12","V8528",0.173
"13","V8529",0.082
"14","V8530",0.224
"15","V8531",0.163
"16","V8536",0.153
"17","V8565",0.133
"18",NA,2.908
