"","V7221","V7206","V7215","V8526","V7202","V8512"
"1",0,1,0,0,0,1
"2",0,0,1,0,0,0
"3",0,1,0,0,1,1
"4",0,1,1,1,1,0
"5",1,1,1,1,1,1
"6",0,1,0,1,0,1
"7",0,1,1,1,0,0
"8",1,1,1,1,1,1
"9",1,1,0,1,0,1
"10",1,1,1,1,0,1
"11",1,1,1,0,0,0
"12",0,1,1,1,0,0
"13",1,1,1,0,1,0
"14",1,1,0,0,1,0
"15",0,1,0,1,1,1
"16",1,1,0,0,0,1
"17",1,1,1,1,0,0
"18",1,1,0,1,1,1
"19",0,1,0,1,0,0
"20",1,1,0,1,0,1
"21",1,1,0,1,0,1
"22",1,1,1,1,0,0
"23",0,1,1,0,0,1
"24",0,1,0,0,0,0
"25",1,1,0,1,1,1
"26",0,1,0,1,0,1
"27",1,1,0,0,0,1
"28",0,1,1,1,0,1
"29",0,1,0,1,0,1
"30",0,1,1,0,1,1
"31",1,1,1,1,1,1
"32",0,1,0,1,0,1
"33",1,1,1,1,1,1
"34",1,1,1,1,0,1
"35",0,1,1,0,1,0
"36",0,1,0,1,1,1
"37",0,0,1,0,0,0
"38",1,1,0,1,1,0
"39",1,1,0,1,0,0
"40",1,1,1,1,1,1
"41",1,0,1,1,0,1
"42",0,0,0,0,1,0
"43",1,0,0,1,0,1
"44",1,1,1,1,0,1
"45",0,1,1,0,1,0
"46",1,0,0,1,1,1
"47",1,1,1,1,0,1
"48",0,1,0,1,1,1
"49",0,0,1,1,0,1
"50",1,0,1,1,1,0
"51",0,1,0,0,1,0
"52",1,1,1,1,0,1
"53",1,1,0,0,0,1
"54",0,1,0,1,1,1
"55",1,1,0,1,1,1
"56",1,1,1,1,1,0
"57",1,0,1,1,1,1
"58",1,1,1,1,0,1
"59",1,1,1,0,1,1
"60",1,1,1,1,1,0
"61",1,1,0,0,1,0
"62",0,1,0,0,1,0
"63",1,1,1,0,1,1
"64",1,1,1,1,1,1
"65",1,1,1,1,1,1
"66",1,1,1,0,1,1
"67",0,1,1,0,1,1
"68",1,1,0,1,1,1
"69",0,1,0,0,1,0
