"","tabulatedCrossValidated","Freq"
"17",NA,1.867
"5","V8502",0.733
"11","V8527",0.667
"7","V8509",0.567
"6","V8505",0.433
"10","V8526",0.4
"2","V7206",0.367
"4","V7552",0.367
"13","V8530",0.333
"9","V8514",0.3
"3","V7215",0.267
"8","V8512",0.167
"14","V8531",0.1
"15","V8536",0.1
"16","V8565",0.1
"12","V8528",0.067
"1","V7202",0.033
