"","V8509","V8527","V7206","V8512","V8526","freq","pred","classPurity"
"1",0,0,0,0,0,0.0214,0.2677,0.3165
"2",0,0,0,0,1,0.0078,0.3519,0.3671
"3",0,0,0,1,0,0.0286,0.3288,0.323
"4",0,0,0,1,1,0.0187,0.4211,0.4579
"5",0,0,1,0,0,0.0365,0.3718,0.3801
"6",0,0,1,0,1,0.0187,0.4679,0.3842
"7",0,0,1,1,0,0.0737,0.4423,0.4286
"8",0,0,1,1,1,0.0633,0.5409,0.5459
"9",0,1,0,0,0,0.0115,0.3499,0.3846
"10",0,1,0,0,1,0.0151,0.4443,0.3922
"11",0,1,0,1,0,0.026,0.419,0.4583
"12",0,1,0,1,1,0.0543,0.5172,0.4656
"13",0,1,1,0,0,0.0346,0.4657,0.4545
"14",0,1,1,0,1,0.0589,0.5642,0.5225
"15",0,1,1,1,0,0.0913,0.5388,0.5388
"16",0,1,1,1,1,0.2693,0.6344,0.6555
"17",1,0,0,0,0,0.0104,0.2007,0.2358
"18",1,0,0,0,1,0.0038,0.2716,0.359
"19",1,0,0,1,0,0.0058,0.2517,0.2373
"20",1,0,0,1,1,0.003,0.3332,0.3
"21",1,0,1,0,0,0.0298,0.289,0.2706
"22",1,0,1,0,1,0.0091,0.3765,0.4839
"23",1,0,1,1,0,0.0109,0.3527,0.2703
"24",1,0,1,1,1,0.007,0.4473,0.5352
"25",1,1,0,0,0,0.0089,0.2699,0.3667
"26",1,1,0,0,1,0.0045,0.3545,0.3478
"27",1,1,0,1,0,0.0027,0.3313,0.2963
"28",1,1,0,1,1,0.006,0.4239,0.3607
"29",1,1,1,0,0,0.0196,0.3745,0.402
"30",1,1,1,0,1,0.0231,0.4707,0.5234
"31",1,1,1,1,0,0.0096,0.4452,0.3469
"32",1,1,1,1,1,0.016,0.5437,0.4294
