"","V7221","V7202","V7206","V7215"
"290",0,1,0,1
"291",1,1,1,1
"292",0,1,1,1
"293",1,1,0,0
"294",0,1,0,0
"295",1,1,1,0
"296",1,1,1,0
"297",1,1,1,1
"298",1,1,1,0
"299",1,1,0,1
"300",0,1,1,0
"301",1,1,1,0
"302",1,1,1,1
"303",1,1,1,0
"304",1,1,0,0
"305",1,1,0,1
"306",0,1,1,0
"307",1,1,1,1
"308",1,1,0,1
"309",1,1,1,1
"310",1,1,1,1
"311",0,1,0,0
"312",1,1,1,0
"313",0,1,0,1
"314",1,1,0,0
"315",0,0,0,1
"316",0,1,1,1
"317",1,1,1,1
"318",1,1,0,0
"319",1,1,0,0
"320",1,1,0,0
"321",0,1,1,1
"322",1,0,1,1
"323",1,1,0,1
"324",1,1,1,0
"325",0,1,1,0
"326",1,1,0,1
"327",1,1,1,1
"328",0,1,0,0
"329",0,1,1,0
"330",1,1,0,1
"331",1,1,1,0
"332",1,1,0,1
"333",1,1,0,1
"334",1,1,1,1
"335",1,1,1,0
"336",0,1,1,0
"337",1,1,1,1
"338",0,1,1,0
"339",1,1,1,0
"340",1,1,0,1
"341",0,1,1,1
"342",1,1,1,1
"343",1,1,1,1
"344",0,1,0,0
"345",0,1,1,0
"346",1,1,1,1
"347",1,1,1,0
"348",0,0,0,0
"349",1,1,1,0
"350",1,1,1,1
"351",1,1,1,1
"352",1,1,1,0
"353",0,1,1,1
"354",0,1,1,1
"355",1,1,1,1
"356",0,0,0,0
"357",1,1,1,1
"358",0,1,0,1
"359",0,1,1,1
"360",1,1,1,1
"361",0,1,0,0
"362",1,1,1,0
"363",1,1,1,1
"364",0,1,1,0
"365",1,1,0,1
"366",1,1,1,1
"367",1,1,1,1
"368",0,1,1,1
"369",0,1,1,0
"370",0,1,1,0
"371",0,1,1,1
"372",1,1,0,0
"373",1,1,1,0
"374",1,1,0,1
"375",0,1,0,1
"376",0,1,0,0
"377",0,0,0,0
"378",1,1,1,1
"379",0,1,1,0
"380",1,1,0,1
"381",0,1,1,1
"382",0,1,1,1
"383",1,1,0,1
"384",0,1,1,1
"385",1,1,1,0
"386",1,0,1,1
"387",1,1,0,0
"388",0,1,0,1
"389",0,1,0,1
"390",0,1,1,1
"391",0,1,1,1
"392",0,1,1,0
"393",1,1,1,1
"394",1,1,1,0
"395",1,1,1,1
"396",1,1,0,1
"397",1,1,1,0
"398",0,1,1,0
"399",1,1,1,1
"400",0,1,1,1
"401",0,1,1,1
"402",1,1,1,1
"403",1,1,0,0
"404",0,1,1,0
"405",1,1,1,1
"406",1,1,1,1
"407",0,1,1,0
"408",1,1,1,0
"409",1,1,1,1
"410",0,1,1,1
"411",1,1,1,1
"412",1,1,1,1
"413",0,1,0,1
"414",0,1,1,0
"415",0,1,1,0
"416",0,1,1,1
"417",1,0,0,1
"418",1,1,1,0
"419",1,1,1,0
"420",1,1,1,1
"421",1,1,1,1
"422",1,1,1,1
"423",1,0,0,0
"424",1,1,1,0
"425",1,1,1,1
"426",0,1,0,0
"427",0,1,1,1
"428",0,1,1,0
"429",1,1,1,1
"430",1,1,0,0
"431",1,1,1,0
"432",1,1,1,1
"433",1,1,0,1
"434",1,1,0,1
"435",0,1,0,0
"436",0,1,1,1
"437",0,1,0,0
"438",0,1,0,0
"439",1,1,0,1
"440",1,1,1,1
"441",1,1,0,0
"442",1,1,1,0
"443",0,0,0,0
"444",0,0,0,0
"445",0,0,0,0
"446",0,1,1,0
"447",1,1,1,0
"448",0,0,0,0
"449",1,1,1,1
"450",0,1,1,0
"451",1,1,1,1
"452",1,1,1,0
"453",1,1,0,0
"454",1,1,1,1
"455",0,1,1,0
"456",0,1,1,1
"457",0,1,1,1
"458",0,0,0,1
"459",0,0,0,0
"460",0,1,1,1
"461",0,1,1,1
"462",1,1,1,0
"463",1,1,1,1
"464",1,1,1,1
"465",1,1,1,0
"466",1,0,1,0
"467",0,1,1,1
"468",0,1,1,0
"469",0,0,0,0
"470",1,1,1,0
"471",1,1,0,1
"472",1,1,0,0
"473",1,1,1,1
"474",0,1,1,0
"475",1,1,1,1
"476",1,1,1,1
"477",1,1,0,0
"478",1,1,1,1
"479",0,1,0,0
"480",1,1,1,1
"481",0,1,0,1
"482",0,1,0,0
"483",1,1,0,0
"484",1,1,1,1
"485",1,1,0,1
"486",1,1,1,1
"487",0,1,1,1
"488",1,1,1,1
"489",1,1,1,1
"490",1,1,1,0
"491",1,1,1,1
"492",0,1,0,0
"493",0,1,0,0
"494",1,1,1,0
"495",1,1,0,1
"496",0,1,1,0
"497",0,1,1,0
"498",1,1,1,1
"499",1,1,0,1
"500",0,1,0,0
"501",1,1,1,0
"502",1,1,0,1
"503",0,1,1,1
"504",0,1,1,0
"505",1,1,1,1
"506",0,1,0,0
"507",0,1,1,1
"508",0,1,1,1
"509",1,1,1,1
"510",1,1,1,0
"511",1,0,0,0
"512",1,1,1,0
"513",0,1,0,0
"514",0,1,1,0
"515",1,1,1,1
"516",1,1,1,1
"517",1,1,1,1
"518",1,1,1,0
"519",0,1,1,1
"520",0,1,0,1
"521",1,1,1,1
"522",1,1,1,1
"523",0,1,1,1
"524",0,1,1,0
"525",1,1,1,1
"526",0,1,1,0
"527",1,1,1,1
"528",1,1,0,0
"529",0,1,1,1
"530",0,1,1,1
"531",0,1,0,1
"532",1,1,1,0
"533",0,0,0,0
