"","V7221","V7215","V8527","V7202","V8512","V8526","V7206","V8509","V8530"
"151",0,0,1,0,1,1,0,0,1
"152",1,1,1,1,1,1,0,0,1
"153",1,0,0,0,1,0,1,0,1
"154",0,1,1,0,0,1,1,1,1
"155",0,0,1,0,1,1,1,0,0
"156",0,1,1,0,1,1,1,0,0
"157",0,1,1,0,1,1,0,0,1
"158",1,1,1,1,1,1,1,0,1
"159",0,0,1,1,0,0,1,0,0
"160",0,1,1,0,1,1,1,0,0
"161",1,1,1,1,1,1,1,0,1
"162",0,0,0,1,1,0,1,0,1
"163",0,1,1,1,1,1,1,1,1
"164",1,1,0,1,0,0,0,0,0
"165",0,0,1,0,0,0,0,0,0
"166",1,1,1,1,1,1,1,0,1
"167",0,0,1,0,1,1,1,0,1
"168",1,0,1,0,1,1,1,0,1
"169",1,1,0,0,0,1,1,0,1
"170",0,1,1,1,0,1,1,0,1
"171",1,0,0,1,0,0,0,0,0
"172",1,0,1,0,0,0,1,1,0
"173",0,0,1,0,1,0,1,0,1
"174",1,1,1,0,1,1,1,0,1
"175",0,1,1,1,1,1,1,0,1
"176",0,0,0,0,0,0,1,0,0
"177",1,0,1,1,1,0,1,0,1
"178",0,0,1,0,1,1,1,0,0
"179",1,1,1,0,1,1,1,0,1
"180",0,0,1,0,0,1,1,0,1
"181",0,1,1,1,1,1,1,0,1
"182",0,0,0,1,1,0,1,0,0
"183",0,1,1,1,1,0,1,0,0
"184",1,1,1,1,0,1,1,0,0
"185",1,1,1,0,1,1,1,1,1
"186",1,1,1,1,1,1,1,0,1
"187",0,0,0,1,1,0,1,0,0
"188",1,0,1,1,1,1,1,0,1
"189",1,1,1,0,1,1,1,0,1
"190",1,1,1,0,1,0,1,0,1
"191",0,0,0,1,0,0,0,1,1
"192",1,1,1,0,1,1,1,0,1
"193",1,1,1,1,1,1,1,0,1
"194",0,0,0,1,1,1,0,0,1
"195",1,1,1,1,1,1,0,0,0
"196",0,1,0,0,1,1,1,0,1
"197",0,0,0,1,0,0,0,0,0
"198",0,0,1,1,1,1,0,0,1
"199",1,1,1,0,1,1,1,0,1
"200",0,0,0,0,1,0,1,0,1
"201",1,1,1,0,1,1,0,0,1
"202",1,1,1,0,1,1,0,0,1
"203",0,0,1,1,0,1,1,0,1
"204",1,0,1,1,0,0,1,1,0
"205",1,0,0,1,1,1,0,0,1
"206",1,1,1,1,1,0,1,0,1
"207",0,1,1,1,1,1,1,0,0
"208",0,1,0,1,0,0,1,0,0
"209",1,0,0,0,0,0,1,1,1
"210",1,1,0,1,1,0,0,0,1
"211",1,0,1,1,1,0,0,0,1
"212",0,1,1,0,1,1,0,1,1
"213",1,1,0,1,0,1,1,0,0
"214",1,1,1,1,0,1,1,0,0
"215",0,0,1,0,1,0,1,1,1
"216",0,1,0,1,0,1,1,1,1
"217",0,0,1,0,1,1,1,0,1
"218",0,0,1,0,1,1,1,0,1
"219",1,1,0,0,1,1,1,0,1
"220",1,1,0,0,1,1,0,0,1
"221",0,0,0,0,1,0,1,0,0
"222",0,0,1,1,1,1,0,0,1
"223",1,1,0,0,1,0,1,0,1
"224",0,0,0,1,0,0,1,1,0
"225",0,0,0,1,0,0,0,0,1
"226",0,1,1,1,1,1,1,0,0
"227",0,0,1,0,1,1,1,0,1
"228",0,1,1,1,1,1,1,0,1
"229",0,0,1,1,1,0,0,0,1
"230",1,0,1,0,1,1,1,0,1
"231",1,1,1,0,1,1,0,0,1
"232",1,0,1,1,1,0,1,0,0
"233",0,1,1,1,0,0,1,1,1
"234",0,1,0,1,0,1,0,0,1
"235",0,0,1,0,0,1,0,1,1
"236",0,1,0,0,0,0,1,0,0
"237",1,1,1,0,1,1,1,0,1
"238",0,0,0,1,1,0,1,0,0
"239",1,1,1,0,0,1,1,0,1
"240",1,1,1,0,1,1,1,0,1
"241",0,1,1,1,1,0,0,0,1
"242",1,1,1,1,1,0,1,0,0
"243",1,0,1,1,1,1,0,0,1
"244",0,0,1,0,1,1,0,0,1
"245",1,0,1,1,1,1,1,0,1
"246",1,0,1,1,1,0,1,0,1
"247",0,0,1,0,0,1,1,0,1
"248",0,0,0,1,1,0,0,0,0
"249",1,1,1,1,1,0,1,0,1
"250",1,1,1,1,1,1,1,0,1
"251",1,0,1,0,1,1,1,1,1
"252",0,1,0,1,1,0,0,0,0
"253",0,1,0,1,0,0,0,0,1
"254",0,0,0,1,1,0,0,0,0
"255",0,1,0,0,1,1,1,0,1
"256",0,0,0,1,1,0,0,0,1
"257",1,0,0,0,1,1,0,0,0
"258",0,0,1,1,1,0,1,0,1
"259",1,1,1,0,1,1,1,0,1
"260",1,1,1,0,1,1,1,0,1
"261",1,1,1,0,0,0,0,0,1
"262",0,1,1,1,1,0,1,1,1
"263",0,0,0,1,1,1,1,0,1
"264",0,1,1,1,1,0,0,0,0
"265",1,0,1,1,0,0,0,0,0
"266",0,0,0,1,0,0,0,1,0
"267",0,0,1,1,0,0,1,1,0
"268",0,0,1,0,1,0,1,0,0
"269",1,0,1,0,1,1,1,0,1
"270",1,0,1,1,1,0,0,0,0
"271",0,0,1,1,0,1,1,0,1
"272",0,0,0,1,0,0,0,1,0
"273",0,1,1,0,1,1,1,0,1
"274",0,0,1,0,1,1,0,1,1
"275",1,1,1,1,0,0,0,0,0
"276",1,1,1,1,1,1,1,0,0
"277",0,0,1,0,0,1,1,0,1
"278",1,1,0,1,1,1,1,0,0
"279",1,1,1,1,1,1,1,1,1
"280",1,1,1,0,0,1,1,1,0
"281",1,1,1,1,1,1,0,0,1
"282",0,0,0,0,1,0,0,0,1
"283",0,1,0,0,1,1,1,0,1
"284",0,0,1,0,1,0,1,1,1
"285",0,0,0,0,1,1,1,0,1
"286",1,0,1,1,1,1,1,0,1
"287",1,1,1,0,0,0,1,1,1
"288",1,1,1,0,0,1,0,1,1
"289",0,1,1,0,1,1,1,0,1
"290",1,1,1,1,1,1,1,0,1
"291",0,0,1,0,1,0,1,0,1
"292",1,1,1,0,1,1,1,0,1
"293",1,1,0,1,0,0,0,0,1
"294",1,1,1,1,1,1,1,0,1
"295",1,1,1,0,1,1,1,0,1
"296",0,0,1,0,1,1,1,0,1
"297",1,1,1,0,1,1,1,0,1
"298",0,0,1,0,0,1,1,0,1
"299",1,0,1,0,1,0,1,0,1
"300",0,1,1,0,0,1,1,0,1
"301",0,0,1,1,1,0,0,0,0
"302",1,1,1,1,1,0,0,0,1
"303",1,0,1,1,1,1,1,0,0
"304",0,1,1,0,1,1,1,0,1
"305",1,0,1,1,1,0,0,0,1
"306",0,1,0,0,0,0,1,0,0
"307",0,0,0,1,1,0,1,0,1
"308",1,1,1,1,1,1,1,0,0
"309",1,0,1,1,1,1,0,0,0
"310",1,0,1,0,1,0,1,0,1
"311",0,0,1,0,0,1,1,0,0
"312",1,0,1,1,1,1,1,0,1
"313",0,1,0,0,0,0,1,0,1
"314",1,1,1,0,0,1,1,0,1
"315",1,0,1,1,0,1,1,0,1
"316",0,1,1,0,1,1,1,0,1
"317",1,1,1,1,1,1,1,0,1
"318",0,1,0,1,1,0,1,1,0
"319",1,1,0,0,1,1,0,0,1
"320",0,1,0,1,1,0,1,0,0
"321",0,1,1,0,1,1,1,0,1
"322",0,0,1,0,1,1,1,1,1
"323",1,0,1,1,1,0,1,0,1
"324",0,1,1,0,1,1,1,0,1
"325",0,1,1,0,1,1,1,0,1
"326",1,1,1,0,1,1,1,0,1
"327",0,0,1,0,1,0,1,0,1
"328",1,1,1,0,1,1,1,0,1
"329",0,1,0,1,1,0,1,0,0
"330",0,0,1,0,1,1,0,0,1
"331",0,0,0,0,0,0,0,0,0
"332",1,1,1,1,1,1,1,1,0
"333",0,1,1,1,1,1,1,0,1
"334",0,0,1,1,0,1,0,0,0
"335",1,0,1,1,1,1,0,0,1
"336",0,0,0,1,1,0,1,0,0
"337",1,0,0,0,1,0,1,0,1
"338",1,1,1,1,1,0,0,0,0
"339",1,1,1,0,1,1,1,0,1
"340",0,0,1,0,1,0,1,0,0
"341",0,0,0,1,0,1,1,0,1
"342",0,0,0,0,1,0,1,1,0
"343",0,1,1,1,1,1,0,0,1
"344",1,1,1,1,1,1,1,0,0
"345",0,1,1,0,1,1,1,0,1
"346",1,1,1,0,0,0,0,1,0
"347",0,0,1,1,1,1,1,0,1
"348",0,0,0,1,1,0,1,0,0
"349",0,1,1,1,0,0,0,0,1
"350",0,0,1,1,1,1,1,0,1
"351",1,1,1,1,0,1,0,0,1
"352",1,0,0,1,0,0,1,1,1
"353",1,0,1,1,1,1,1,0,1
"354",0,0,1,0,1,0,0,1,0
"355",0,1,1,0,1,1,1,0,1
"356",1,0,1,0,1,0,1,1,0
"357",1,1,0,1,0,0,1,0,0
"358",1,1,1,1,1,0,0,1,1
"359",0,1,0,1,1,1,0,0,0
"360",0,0,0,1,1,0,0,1,0
"361",0,1,0,0,0,1,1,0,0
"362",0,1,1,0,0,0,1,0,1
"363",1,0,1,1,1,1,1,0,1
"364",0,0,1,1,1,0,1,0,0
"365",1,1,1,0,1,1,1,0,1
"366",1,1,1,0,0,0,1,0,0
"367",0,1,1,0,0,1,0,0,1
"368",0,0,0,0,0,0,1,0,1
"369",1,1,1,0,1,1,1,0,1
"370",0,0,0,1,1,1,0,0,0
"371",1,0,1,1,0,1,1,0,1
"372",0,1,0,1,0,0,1,1,0
"373",0,0,0,0,1,1,1,0,1
"374",0,0,0,1,0,0,1,0,0
"375",0,0,1,1,1,1,1,0,0
"376",1,1,1,0,0,1,1,0,1
"377",1,1,1,0,1,1,1,0,0
"378",1,1,0,1,1,0,1,0,1
"379",1,1,0,0,1,1,1,0,1
"380",1,1,1,1,1,1,0,0,1
"381",1,1,1,1,1,1,1,0,1
"382",0,0,1,1,0,0,1,0,0
"383",1,1,1,1,1,1,1,0,1
"384",0,0,0,0,1,0,0,0,0
"385",1,1,1,0,1,1,1,0,1
"386",1,0,0,1,1,0,1,0,1
"387",1,0,1,1,1,0,1,0,1
"388",1,1,1,0,1,1,0,0,1
"389",1,0,1,0,1,1,0,0,1
"390",1,0,0,1,0,1,1,1,1
"391",0,0,1,0,1,1,0,0,1
"392",1,0,1,1,1,1,1,0,1
"393",1,0,1,1,1,0,1,0,1
"394",0,1,0,0,1,0,1,0,0
"395",1,1,1,0,1,1,1,0,0
"396",1,1,1,0,0,1,1,0,1
"397",0,0,1,1,0,1,1,1,0
"398",1,1,0,0,1,1,1,0,1
"399",0,0,1,0,0,0,1,0,0
"400",1,0,1,0,1,1,1,0,1
"401",0,1,1,1,1,1,1,0,1
"402",1,1,1,1,1,1,1,0,1
"403",0,0,0,1,1,0,1,0,0
"404",1,1,0,1,0,0,1,0,1
"405",0,0,1,0,0,0,1,1,0
"406",1,1,1,0,1,1,1,0,1
"407",1,0,1,0,1,1,1,0,1
"408",0,0,0,0,1,1,0,0,1
"409",1,1,1,0,1,1,1,0,1
"410",0,0,1,0,1,1,0,0,1
"411",0,0,1,0,1,1,1,0,1
"412",1,1,1,0,1,0,1,0,1
"413",1,1,1,0,1,1,1,0,0
"414",0,0,1,1,1,1,0,0,0
"415",1,1,1,1,1,0,1,0,1
"416",1,1,1,1,1,1,1,0,1
"417",0,1,1,1,1,1,1,1,1
"418",1,1,1,0,1,1,1,0,1
"419",0,1,0,0,1,0,0,0,0
"420",1,0,1,1,0,1,1,0,0
"421",1,1,1,0,1,1,1,0,1
"422",0,0,1,1,1,0,1,1,1
"423",1,1,1,1,1,1,1,0,1
"424",1,0,1,0,1,1,1,0,1
"425",1,1,0,1,1,0,1,0,0
"426",1,0,1,1,1,1,1,0,1
"427",1,1,1,1,1,0,1,0,1
"428",0,1,1,0,1,0,1,0,1
"429",1,0,1,1,1,0,1,0,1
"430",0,1,0,1,0,0,0,0,0
"431",1,0,1,1,1,0,1,0,1
"432",1,1,1,1,1,1,1,1,1
"433",1,1,1,0,1,0,0,0,1
"434",0,1,0,0,1,1,1,0,1
"435",1,1,1,1,0,1,0,0,0
"436",1,1,1,1,1,1,1,0,1
"437",0,0,1,0,1,1,1,0,1
"438",1,1,0,0,1,1,1,0,0
"439",0,0,0,1,1,0,0,0,1
"440",0,1,0,0,0,0,0,0,0
"441",0,1,1,0,1,1,1,0,1
"442",1,0,1,1,1,1,1,0,0
"443",1,1,1,1,1,1,1,0,1
"444",1,1,1,1,1,1,1,0,1
"445",0,1,0,1,0,0,1,1,0
"446",0,1,0,1,1,0,1,0,1
"447",0,0,1,0,1,0,1,0,1
