"","V8512","V7215","V8526","V7202","V7206","V8527","V8509","freq","pred"
"104",1,1,0,0,1,1,1,0.0016,0.3948
"105",1,1,0,1,0,0,0,0.0082,0.4449
"106",1,1,0,1,0,0,1,0.0022,0.326
"107",1,1,0,1,0,1,0,0.0061,0.5503
"108",1,1,0,1,0,1,1,9e-04,0.4248
"109",1,1,0,1,1,0,0,0.018,0.5924
"110",1,1,0,1,1,0,1,0.0023,0.4673
"111",1,1,0,1,1,1,0,0.0284,0.6894
"112",1,1,0,1,1,1,1,0.0028,0.5725
"113",1,1,1,0,0,0,0,0.0057,0.393
"114",1,1,1,0,0,0,1,0.001,0.281
"115",1,1,1,0,0,1,0,0.0156,0.4971
"116",1,1,1,0,0,1,1,0.0017,0.3737
"117",1,1,1,0,1,0,0,0.0231,0.54
"118",1,1,1,0,1,0,1,0.0026,0.4147
"119",1,1,1,0,1,1,0,0.0903,0.6419
"120",1,1,1,0,1,1,1,0.0063,0.5197
"121",1,1,1,1,0,0,0,0.0049,0.5707
"122",1,1,1,1,0,0,1,0.0013,0.4452
"123",1,1,1,1,0,1,0,0.0122,0.67
"124",1,1,1,1,0,1,1,0.0015,0.5506
"125",1,1,1,1,1,0,0,0.0123,0.7068
"126",1,1,1,1,1,0,1,8e-04,0.5927
"127",1,1,1,1,1,1,0,0.075,0.7864
"128",1,1,1,1,1,1,1,0.0038,0.6896
