"","V8502","V8526","V8530","V7202","freq","pred"
"1",0,0,0,0,0.0774,0.7124
"2",0,0,0,1,0.0632,0.6055
"3",0,0,1,0,0.0774,0.478
"4",0,0,1,1,0.0645,0.362
"5",0,1,0,0,0.0581,0.559
"6",0,1,0,1,0.0361,0.4399
"7",0,1,1,0,0.2181,0.3191
"8",0,1,1,1,0.1342,0.225
"9",1,0,0,0,0.0465,0.8736
"10",1,0,0,1,0.0826,0.8107
"11",1,0,1,0,0.0297,0.7187
"12",1,0,1,1,0.0335,0.6129
"13",1,1,0,0,0.0181,0.7796
"14",1,1,0,1,0.0129,0.6867
"15",1,1,1,0,0.031,0.5666
"16",1,1,1,1,0.0168,0.4476
