"","V8517","V8502","V8527","V7552","V8512"
"245",0,0,1,1,1
"246",0,0,1,1,1
"247",0,0,1,1,1
"248",1,0,1,1,0
"249",1,1,0,1,0
"250",0,0,1,0,0
"251",1,0,0,1,0
"252",0,0,1,0,1
"253",1,1,0,1,1
"254",1,0,1,0,0
"255",0,0,1,1,1
"256",0,0,1,0,1
"257",0,0,1,1,1
"258",0,1,1,1,1
"259",1,0,1,1,1
"260",0,0,1,1,1
"261",0,0,1,1,1
"262",0,0,1,1,1
"263",0,0,1,1,0
"264",0,1,0,0,1
"265",0,0,1,1,1
"266",0,0,1,0,1
"267",0,0,1,1,1
"268",0,0,0,1,1
"269",0,0,0,1,0
"270",0,0,0,1,1
"271",0,1,0,1,1
"272",0,0,0,0,1
"273",1,0,0,1,1
"274",0,0,1,0,1
"275",0,0,1,0,1
"276",0,0,1,1,1
"277",0,0,1,0,0
"278",1,0,1,1,1
"279",0,0,0,0,1
"280",0,0,1,1,1
"281",0,0,1,1,0
"282",0,1,0,1,0
"283",0,0,0,1,1
"284",0,1,1,1,0
"285",0,0,1,0,1
"286",0,0,1,1,1
"287",0,0,0,0,1
"288",0,0,1,1,1
"289",1,0,1,1,0
"290",0,1,0,1,0
"291",0,0,1,1,1
"292",1,0,1,0,1
"293",0,0,1,1,0
"294",0,0,0,0,1
"295",0,0,1,1,1
"296",0,0,1,0,0
"297",0,1,0,0,1
"298",0,0,1,1,1
"299",0,1,1,1,0
"300",0,0,1,1,1
"301",0,0,0,1,1
"302",0,0,0,1,1
"303",0,0,1,1,1
"304",0,0,0,0,1
"305",0,0,1,1,1
"306",0,0,1,1,1
"307",0,0,1,0,0
"308",0,0,1,0,0
"309",0,0,1,1,1
"310",0,0,1,1,1
"311",0,0,1,0,1
"312",0,0,1,1,1
"313",0,1,0,0,0
"314",0,0,1,0,1
"315",0,0,1,1,1
"316",0,0,1,0,1
"317",1,0,1,1,1
"318",0,0,1,0,0
"319",0,0,1,1,1
"320",0,0,1,0,0
"321",0,0,1,1,1
"322",0,0,1,1,1
"323",1,0,1,1,1
"324",1,0,1,1,1
"325",0,0,1,0,1
"326",0,0,0,1,0
"327",1,0,0,1,1
"328",1,0,1,1,1
"329",0,0,1,1,1
"330",0,0,1,1,1
"331",1,0,1,0,0
"332",0,0,0,1,0
"333",0,0,1,1,1
"334",1,0,0,1,0
"335",0,0,1,1,0
"336",0,1,1,1,0
"337",1,1,1,1,1
"338",0,0,1,0,1
"339",0,1,0,1,1
"340",0,0,0,0,1
"341",0,0,0,1,1
"342",1,0,1,1,1
"343",1,1,1,1,1
"344",0,0,1,1,1
"345",0,0,1,0,1
"346",0,0,1,1,1
"347",1,0,1,1,1
"348",0,0,1,0,1
"349",0,0,1,1,1
"350",0,0,0,1,1
"351",0,0,1,1,1
"352",0,0,0,0,0
"353",0,1,1,1,1
"354",0,0,1,1,1
"355",0,0,1,0,0
"356",0,0,1,0,1
"357",0,0,0,1,1
"358",0,0,0,1,1
"359",0,0,1,1,1
"360",0,0,1,1,1
"361",0,0,1,1,1
"362",0,0,0,1,0
"363",1,0,0,0,1
"364",0,0,1,1,1
"365",0,0,1,0,1
"366",0,0,1,0,1
"367",0,1,1,1,0
"368",0,0,0,0,1
"369",0,0,1,1,1
"370",1,1,0,1,1
"371",0,1,1,1,0
"372",0,0,1,1,1
"373",0,0,1,1,0
"374",0,0,0,1,0
"375",0,0,1,1,1
"376",0,0,1,0,1
"377",0,1,1,0,1
"378",1,1,1,1,1
"379",0,1,0,1,0
"380",0,1,1,1,1
"381",0,1,0,1,1
"382",0,1,0,1,1
"383",0,0,0,1,0
"384",0,0,1,0,0
"385",0,0,1,0,1
"386",0,0,1,1,1
"387",0,0,1,0,1
"388",0,1,1,1,1
"389",0,0,1,0,1
"390",0,1,1,0,0
"391",0,0,1,0,0
"392",0,1,0,0,0
"393",0,0,1,1,1
"394",0,1,0,1,1
"395",0,1,1,1,0
"396",0,1,0,1,0
"397",1,0,0,0,1
"398",0,0,0,1,0
"399",0,0,1,1,1
"400",0,0,1,0,0
"401",0,0,1,1,1
"402",0,0,0,1,1
"403",0,0,0,1,1
"404",0,0,1,0,1
"405",1,0,1,1,1
"406",0,1,1,1,0
"407",0,0,1,1,1
"408",0,1,0,1,1
"409",0,0,1,1,1
"410",0,0,0,1,1
"411",0,0,1,1,1
"412",0,0,1,1,1
"413",0,0,1,1,1
"414",0,0,1,0,0
"415",0,1,0,1,0
"416",1,0,1,1,1
"417",0,0,1,1,1
"418",0,0,1,1,1
"419",0,0,0,1,1
"420",0,0,1,1,1
"421",0,0,1,1,0
"422",0,0,1,1,0
"423",1,0,0,1,1
"424",0,0,1,1,0
"425",1,0,1,1,1
"426",1,0,1,0,1
"427",0,0,1,1,1
"428",0,1,0,1,1
"429",0,0,0,0,0
"430",1,1,1,1,0
"431",0,0,1,0,1
"432",0,0,1,0,1
"433",1,0,0,1,1
"434",0,0,1,0,1
"435",0,0,1,1,1
"436",0,0,1,0,1
"437",0,0,1,1,1
"438",0,0,1,1,1
"439",0,0,1,1,1
"440",0,0,1,0,1
"441",0,0,1,0,1
"442",1,0,1,0,1
"443",0,0,1,1,1
"444",1,0,0,0,1
"445",1,0,1,1,0
"446",0,0,1,1,1
"447",0,1,1,1,1
"448",0,0,1,1,1
"449",0,0,1,1,1
"450",0,0,0,1,1
"451",0,0,1,1,1
"452",0,0,1,1,1
"453",1,0,1,1,1
"454",0,1,1,0,1
"455",1,0,0,1,0
"456",0,0,1,0,1
"457",0,0,1,1,1
"458",0,0,1,0,1
"459",0,0,0,0,1
"460",0,1,1,1,0
"461",0,0,1,1,1
"462",0,0,1,0,1
"463",0,0,0,0,1
"464",0,0,0,1,1
"465",0,0,0,0,0
"466",0,0,1,1,1
"467",0,0,1,1,1
"468",0,0,1,0,1
"469",0,0,1,0,1
"470",0,1,0,0,0
"471",0,0,0,1,1
"472",0,0,1,1,1
"473",0,0,0,1,1
"474",0,0,1,1,1
"475",0,0,0,0,1
"476",0,1,1,0,0
"477",0,0,0,1,0
"478",0,0,1,1,1
"479",0,0,1,1,0
"480",0,0,0,1,0
"481",0,0,0,1,1
"482",0,0,1,0,1
"483",1,0,0,1,1
"484",0,1,0,0,0
"485",0,1,0,1,1
"486",0,0,1,1,1
"487",0,0,0,0,1
"488",0,0,1,1,0
"489",0,0,1,0,1
"490",1,0,1,0,1
"491",0,1,1,1,1
"492",0,0,1,1,1
"493",0,0,1,0,1
"494",1,0,0,0,0
"495",0,0,0,0,1
"496",0,0,0,1,1
"497",0,0,0,0,1
"498",0,0,1,1,1
"499",0,0,0,0,1
"500",0,1,1,1,1
"501",0,0,0,0,0
"502",0,0,0,1,1
"503",0,0,1,1,0
"504",0,0,1,1,1
"505",0,1,0,1,1
"506",0,0,0,1,1
"507",0,0,1,1,0
"508",0,1,1,1,0
"509",1,1,0,1,0
"510",0,0,1,0,0
"511",0,0,1,1,1
"512",1,1,1,1,0
"513",0,0,0,0,1
"514",0,0,1,1,1
"515",0,0,0,1,1
"516",0,0,1,0,1
"517",0,0,1,0,1
"518",0,1,1,0,0
"519",1,0,1,1,1
"520",0,0,0,1,0
"521",0,0,1,1,1
"522",0,0,1,1,1
"523",0,1,1,1,1
"524",0,0,1,0,1
"525",0,0,0,1,0
"526",0,0,1,1,1
"527",0,1,0,1,1
"528",1,0,0,0,0
"529",0,0,1,1,0
"530",0,0,1,1,1
"531",0,0,1,0,1
"532",0,0,1,0,0
"533",1,0,0,0,1
"534",0,0,1,0,1
"535",0,0,1,0,1
"536",0,1,1,1,1
"537",1,0,1,0,1
"538",0,0,0,1,1
"539",0,0,0,0,1
"540",1,1,0,1,0
"541",0,1,1,1,1
"542",0,0,1,1,1
"543",0,0,1,0,1
"544",0,1,0,1,0
"545",0,0,1,1,1
"546",1,0,0,0,1
"547",1,0,0,0,0
"548",0,0,1,1,1
"549",0,0,0,1,1
"550",0,0,1,1,1
"551",0,0,1,1,1
"552",1,0,1,1,1
"553",0,1,0,1,0
"554",0,0,1,1,0
"555",0,0,1,1,0
"556",0,0,1,0,1
"557",0,0,1,1,1
"558",0,1,1,1,0
"559",1,0,1,1,1
"560",0,0,0,1,1
"561",0,0,1,0,1
"562",0,0,1,1,1
"563",0,0,1,1,1
"564",1,0,0,1,0
"565",1,0,1,1,1
"566",0,1,1,0,1
"567",1,0,1,1,1
"568",0,0,1,0,1
"569",0,0,0,1,1
"570",0,0,0,1,1
"571",0,0,0,1,1
"572",0,1,1,0,1
"573",0,0,1,0,0
"574",0,1,0,1,0
"575",1,0,1,1,1
"576",0,1,1,0,0
"577",0,0,1,0,1
"578",1,0,1,1,0
"579",0,0,1,0,1
"580",0,0,1,1,0
"581",0,0,1,1,1
"582",0,1,1,0,0
"583",0,0,0,0,0
"584",0,0,1,0,1
"585",1,0,1,0,1
"586",0,1,1,0,0
"587",0,0,1,1,1
"588",1,0,1,0,0
"589",0,0,0,1,1
"590",0,1,1,0,0
"591",1,1,1,1,0
"592",0,0,0,1,1
"593",0,0,1,0,1
"594",0,1,0,1,1
"595",0,0,1,1,1
"596",1,1,0,0,0
"597",1,0,1,1,1
"598",0,1,0,0,1
"599",0,0,1,1,1
"600",0,0,1,1,1
"601",0,0,1,0,1
"602",1,0,0,1,0
"603",0,0,1,1,0
"604",0,1,1,1,0
"605",0,1,1,0,1
"606",0,0,1,0,0
"607",0,0,1,0,1
"608",0,0,1,1,1
"609",1,0,0,1,1
"610",0,1,1,0,0
"611",0,0,1,0,0
"612",0,0,1,0,1
"613",0,1,0,1,0
"614",0,0,1,0,1
"615",0,0,0,1,1
"616",1,1,0,1,0
"617",1,0,0,0,1
"618",0,0,1,0,0
"619",0,1,0,0,0
"620",0,0,0,0,1
"621",1,0,1,0,1
"622",0,0,1,0,1
"623",0,0,1,0,0
"624",0,0,1,1,1
"625",0,0,0,1,1
"626",0,0,1,1,1
"627",0,1,1,1,1
"628",0,0,1,0,1
"629",0,0,1,1,0
"630",0,0,1,1,1
"631",1,0,1,1,1
"632",0,0,1,1,1
"633",0,0,0,0,1
"634",1,0,1,0,1
"635",0,0,1,0,1
"636",1,0,0,1,1
"637",0,1,0,1,0
"638",0,0,1,1,0
"639",0,0,0,0,0
"640",0,0,1,1,1
"641",0,0,1,0,1
"642",0,0,1,1,1
"643",0,0,1,1,1
"644",0,0,0,1,1
"645",0,0,0,1,1
"646",0,0,1,1,1
"647",0,1,0,0,1
"648",0,0,0,1,1
"649",0,0,0,0,0
"650",1,0,0,1,1
"651",0,0,0,1,0
"652",0,0,1,0,1
"653",0,0,1,1,1
"654",1,0,0,1,1
"655",0,0,0,1,0
"656",0,1,1,1,1
"657",0,0,1,1,1
"658",0,0,1,0,1
"659",0,0,1,0,1
"660",0,0,1,1,1
"661",0,0,1,1,1
"662",0,1,0,1,0
"663",0,0,1,0,1
"664",1,0,0,1,1
"665",0,0,1,1,1
"666",0,0,1,1,0
"667",0,0,1,0,1
"668",0,0,0,1,1
"669",1,0,0,1,1
"670",1,0,1,1,1
"671",0,0,1,1,1
"672",0,0,1,1,1
"673",0,0,1,0,1
"674",0,0,1,1,1
"675",1,1,1,1,1
"676",0,0,1,0,1
"677",0,0,1,0,1
"678",0,0,0,0,0
"679",0,1,1,0,0
"680",1,0,0,1,1
"681",0,0,0,1,0
"682",0,0,1,0,1
"683",0,0,1,1,1
"684",1,0,0,1,1
"685",0,0,0,0,1
"686",0,0,1,0,0
"687",0,0,0,1,1
"688",1,1,1,1,0
"689",0,0,1,1,1
"690",0,0,1,0,1
"691",0,0,0,0,0
"692",0,0,0,0,1
"693",0,0,1,1,1
"694",0,0,1,1,1
