"","V8502","V8509","V8527","V8526","V7206","V8512","freq","pred","classPurity"
"1",0,0,0,0,0,0,0.0159,0.2662,0.2671
"2",0,0,0,0,0,1,0.0253,0.3439,0.3516
"3",0,0,0,0,1,0,0.0305,0.3622,0.3301
"4",0,0,0,0,1,1,0.0608,0.4506,0.4439
"5",0,0,0,1,0,0,0.005,0.3473,0.3922
"6",0,0,0,1,0,1,0.0145,0.4346,0.5102
"7",0,0,0,1,1,0,0.0143,0.4544,0.3931
"8",0,0,0,1,1,1,0.0651,0.5461,0.5432
"9",0,0,1,0,0,0,0.0092,0.346,0.3978
"10",0,0,1,0,0,1,0.0221,0.4332,0.4018
"11",0,0,1,0,1,0,0.0227,0.4529,0.3957
"12",0,0,1,0,1,1,0.0825,0.5446,0.5605
"13",0,0,1,1,0,0,0.0114,0.4369,0.3739
"14",0,0,1,1,0,1,0.0529,0.5285,0.4822
"15",0,0,1,1,1,0,0.0437,0.5483,0.509
"16",0,0,1,1,1,1,0.2511,0.6369,0.6694
"17",0,1,0,0,0,0,0.0022,0.2165,0.1818
"18",0,1,0,0,0,1,0.0012,0.2852,0.0833
"19",0,1,0,0,1,0,0.0047,0.3018,0.3125
"20",0,1,0,0,1,1,0.0045,0.3844,0.413
"21",0,1,0,1,0,0,0.0011,0.2883,0.2727
"22",0,1,0,1,0,1,0.001,0.3692,0.3
"23",0,1,0,1,1,0,0.0022,0.388,0.4091
"24",0,1,0,1,1,1,0.0027,0.478,0.3333
"25",0,1,1,0,0,0,0.0015,0.2871,0.2
"26",0,1,1,0,0,1,7e-04,0.3678,0
"27",0,1,1,0,1,0,0.0036,0.3866,0.25
"28",0,1,1,0,1,1,0.0042,0.4766,0.4524
"29",0,1,1,1,0,0,7e-04,0.3714,0.2857
"30",0,1,1,1,0,1,0.0021,0.4604,0.619
"31",0,1,1,1,1,0,0.0061,0.4803,0.5
"32",0,1,1,1,1,1,0.0089,0.5718,0.4556
"33",1,0,0,0,0,0,0.0055,0.2341,0.25
"34",1,0,0,0,0,1,0.0033,0.3062,0.3636
"35",1,0,0,0,1,0,0.0104,0.3235,0.3238
"36",1,0,0,0,1,1,0.0077,0.4085,0.3462
"37",1,0,0,1,0,0,0.0022,0.3095,0.2273
"38",1,0,0,1,0,1,0.0022,0.393,0.6364
"39",1,0,0,1,1,0,0.004,0.4122,0.4
"40",1,0,0,1,1,1,0.0056,0.5032,0.2807
"41",1,0,1,0,0,0,0.0043,0.3082,0.4773
"42",1,0,1,0,0,1,0.0026,0.3916,0.3077
"43",1,0,1,0,1,0,0.0089,0.4108,0.3667
"44",1,0,1,0,1,1,0.0091,0.5018,0.5326
"45",1,0,1,1,0,0,0.0039,0.3952,0.2821
"46",1,0,1,1,0,1,0.0045,0.4856,0.5435
"47",1,0,1,1,1,0,0.0123,0.5056,0.5887
"48",1,0,1,1,1,1,0.0159,0.5963,0.4534
"49",1,1,0,0,0,0,0.0077,0.1887,0.2821
"50",1,1,0,0,0,1,0.0043,0.2515,0.3636
"51",1,1,0,0,1,0,0.0199,0.2669,0.3532
"52",1,1,0,0,1,1,0.0075,0.3446,0.2763
"53",1,1,0,1,0,0,0.0024,0.2544,0.0833
"54",1,1,0,1,0,1,0.0014,0.3302,0.6429
"55",1,1,0,1,1,0,0.0066,0.3481,0.3731
"56",1,1,0,1,1,1,0.0042,0.4354,0.4419
"57",1,1,1,0,0,0,0.0086,0.2533,0.3678
"58",1,1,1,0,0,1,0.0021,0.3289,0.1429
"59",1,1,1,0,1,0,0.0154,0.3467,0.391
"60",1,1,1,0,1,1,0.0064,0.434,0.2154
"61",1,1,1,1,0,0,0.0064,0.3322,0.4
"62",1,1,1,1,0,1,0.0038,0.4182,0.1842
"63",1,1,1,1,1,0,0.0173,0.4377,0.4571
"64",1,1,1,1,1,1,0.0094,0.5293,0.5053
