"","tabulatedCrossValidated","Freq"
"17",NA,1.75
"5","V8502",0.683
"7","V8509",0.583
"11","V8527",0.55
"4","V7552",0.467
"10","V8526",0.45
"13","V8530",0.333
"2","V7206",0.317
"9","V8514",0.3
"15","V8536",0.3
"6","V8505",0.283
"8","V8512",0.283
"3","V7215",0.233
"12","V8528",0.15
"14","V8531",0.1
"16","V8565",0.033
"1","V7202",0.017
