"","V7221","V7101","V7202","V7206","V8512","V8517","V8526"
"187",1,0,1,1,1,0,1
"188",0,0,1,1,1,0,0
"189",1,0,1,1,1,0,1
"190",1,0,0,1,1,0,1
"191",1,0,0,1,1,0,0
"192",0,0,1,0,0,1,0
"193",1,0,0,1,1,0,1
"194",1,0,1,1,1,0,1
"195",1,0,1,0,1,1,1
"196",1,0,1,0,1,0,1
"197",0,1,0,1,1,1,1
"198",0,1,1,0,0,1,0
"199",0,0,1,0,1,0,1
"200",1,0,0,1,1,0,1
"201",0,0,0,1,1,0,0
"202",1,0,0,0,1,0,1
"203",1,0,0,0,1,0,1
"204",0,1,1,1,0,0,1
"205",0,0,1,1,0,0,0
"206",1,0,1,0,1,0,1
"207",1,0,1,1,1,0,0
"208",0,0,1,1,1,0,1
"209",0,0,1,1,0,0,0
"210",1,1,0,1,0,0,0
"211",1,0,1,0,1,1,0
"212",0,0,1,0,1,0,0
"213",0,1,0,0,1,1,1
"214",0,1,1,1,0,0,1
"215",1,0,1,1,0,0,1
"216",0,0,0,1,1,0,0
"217",0,0,1,1,0,0,1
"218",0,0,0,1,1,1,1
"219",0,0,0,1,1,0,1
"220",1,0,0,1,1,0,1
"221",1,0,0,0,1,0,1
"222",0,1,0,1,1,0,0
"223",0,1,1,0,1,1,1
"224",0,0,0,1,1,0,0
"225",0,1,1,1,0,1,0
"226",0,1,1,0,0,1,0
"227",0,0,1,1,1,0,1
"228",0,0,0,1,1,0,1
"229",0,0,1,1,1,0,1
"230",0,1,1,0,1,1,0
"231",1,0,0,1,1,0,1
"232",1,1,0,0,1,0,1
"233",1,0,1,1,1,0,0
"234",0,1,1,1,0,1,0
"235",0,1,1,0,0,1,1
"236",0,0,0,0,0,0,1
"237",0,1,0,1,0,1,0
"238",1,0,0,1,1,0,1
"239",0,1,1,1,1,1,0
"240",0,0,0,1,0,1,1
"241",0,0,0,1,1,0,1
"242",0,0,1,0,1,0,0
"243",1,0,1,1,1,0,0
"244",0,0,1,0,1,0,1
"245",0,0,0,0,1,0,1
"246",1,0,1,1,1,0,1
"247",0,1,0,1,0,0,1
"248",1,0,1,1,1,0,0
"249",1,0,1,1,1,0,1
"250",1,0,0,1,1,0,1
"251",0,0,1,0,1,0,0
"252",0,0,1,0,0,0,0
"253",0,0,1,0,1,0,0
"254",0,0,0,1,1,0,1
"255",0,1,1,0,1,0,0
"256",0,1,0,0,1,1,1
"257",0,0,1,1,1,0,0
"258",1,0,0,1,1,0,1
"259",1,0,0,1,1,0,1
"260",1,0,0,0,0,0,0
"261",0,1,1,1,1,1,0
"262",0,0,1,1,1,0,1
"263",0,0,1,0,1,0,0
"264",1,0,1,0,0,0,0
"265",0,1,1,1,1,0,0
"266",0,1,1,1,0,0,0
"267",0,0,0,1,1,0,0
"268",0,1,0,1,1,0,1
"269",0,1,1,0,1,0,0
"270",0,1,1,1,0,1,1
"271",0,0,1,0,0,0,0
"272",0,0,0,1,1,0,1
"273",0,1,0,0,1,1,1
"274",0,0,1,0,0,0,0
"275",1,0,1,1,1,0,1
"276",0,0,0,1,0,0,1
"277",0,0,1,1,1,0,1
"278",1,0,1,1,1,0,1
"279",0,0,0,1,0,0,1
"280",1,0,1,0,1,0,1
"281",0,0,0,0,1,0,0
"282",0,0,0,1,1,0,1
"283",0,1,0,1,1,0,0
"284",0,0,0,1,1,0,1
"285",1,0,1,1,1,0,1
"286",1,0,0,1,0,0,0
"287",0,0,0,0,0,0,1
"288",0,0,0,1,1,0,1
"289",1,0,1,1,1,0,1
"290",0,0,0,1,1,0,0
"291",1,0,0,1,1,0,1
"292",0,1,1,0,0,0,0
"293",1,0,1,1,1,0,1
"294",1,0,0,1,1,0,1
"295",0,0,0,1,1,0,1
"296",1,0,0,1,1,1,1
"297",0,0,0,1,0,0,1
"298",1,0,0,1,1,0,0
"299",0,0,0,1,0,0,1
"300",0,0,1,0,1,0,0
"301",0,0,1,0,1,0,0
"302",0,0,1,1,1,1,1
"303",0,0,0,1,1,1,1
"304",0,0,1,0,1,0,0
"305",0,0,0,1,0,0,0
"306",0,1,1,1,1,1,0
"307",1,0,1,1,1,1,1
"308",1,0,1,0,1,0,1
"309",1,0,0,1,1,0,0
"310",0,0,0,1,0,1,1
"311",1,0,1,1,1,0,1
"312",1,1,0,1,0,1,0
"313",1,0,0,1,0,0,1
"314",0,0,1,1,0,0,1
"315",0,1,0,1,1,1,1
"316",1,0,1,1,1,0,1
"317",1,0,1,1,1,0,0
"318",0,0,0,0,1,0,1
"319",0,0,1,1,1,0,0
"320",0,0,0,1,1,1,1
"321",0,0,0,1,1,1,1
"322",1,0,1,1,1,0,0
"323",0,0,0,1,1,0,1
"324",0,0,0,1,1,0,1
"325",1,0,0,1,1,1,1
"326",0,0,0,1,1,0,0
"327",1,0,0,1,1,0,1
"328",0,0,0,0,1,0,1
"329",0,0,0,0,0,0,0
"330",1,0,1,1,1,0,1
"331",0,0,1,1,1,0,1
"332",0,1,1,0,0,0,1
"333",0,0,1,1,1,0,0
"334",0,0,0,1,1,0,0
"335",1,0,1,0,1,0,0
"336",0,0,0,1,1,0,0
"337",0,0,0,1,1,0,1
"338",0,1,0,1,1,0,0
"339",0,0,1,1,0,0,1
"340",0,0,0,1,1,1,0
"341",0,1,1,0,1,0,1
"342",1,0,1,1,1,0,1
"343",0,0,0,1,1,0,1
"344",1,1,0,0,0,0,0
"345",0,0,1,1,1,0,1
"346",0,1,1,1,1,1,0
"347",0,1,1,0,0,0,0
"348",0,0,1,1,1,0,1
"349",0,0,1,1,0,0,0
"350",0,0,1,1,1,0,1
"351",0,1,0,0,1,0,0
"352",0,0,0,1,1,0,1
"353",0,1,0,1,1,1,0
"354",1,0,1,1,0,0,0
"355",1,0,1,0,1,0,0
"356",0,0,1,0,1,0,1
"357",0,1,1,0,1,0,0
"358",0,1,0,1,0,0,1
"359",0,0,0,1,0,0,0
"360",1,0,1,1,1,0,1
"361",0,1,1,1,1,0,0
"362",0,0,0,1,1,0,1
"363",1,0,0,1,0,0,0
"364",0,0,0,0,0,0,1
"365",0,1,0,1,0,0,0
"366",1,0,0,1,1,0,1
"367",0,1,1,0,1,0,1
"368",1,0,1,1,0,0,1
"369",0,1,1,1,0,0,0
"370",0,0,0,1,1,1,1
"371",0,1,1,1,0,0,0
"372",0,0,1,1,1,0,1
"373",1,0,0,1,0,0,1
"374",1,1,0,1,1,0,1
"375",0,0,1,1,1,0,0
"376",0,0,0,1,1,0,1
"377",1,0,1,0,1,0,1
"378",1,0,1,1,1,1,1
"379",0,0,1,1,0,0,0
"380",1,0,1,1,1,0,1
"381",0,1,0,0,1,0,0
"382",1,0,0,1,1,0,1
"383",1,1,1,1,1,0,0
"384",1,0,1,1,1,0,0
"385",1,0,0,0,1,0,1
"386",1,0,0,0,1,0,1
"387",1,0,0,1,0,0,1
"388",0,0,1,1,0,0,1
"389",0,1,0,0,1,1,1
"390",1,0,1,1,1,0,1
"391",0,0,1,1,1,0,0
"392",0,0,0,1,1,0,0
"393",1,0,0,1,1,0,1
"394",1,1,0,1,0,0,1
"395",0,0,1,1,0,0,1
"396",1,0,0,1,1,1,1
"397",0,0,0,1,0,0,0
"398",1,1,0,1,1,1,1
"399",0,0,1,1,1,1,1
"400",0,0,1,1,1,0,1
"401",0,0,1,1,1,0,0
"402",1,0,1,1,0,0,0
"403",0,1,0,1,0,1,0
"404",1,0,0,1,1,0,1
"405",1,0,0,1,1,0,1
"406",0,0,0,0,1,1,1
"407",0,0,0,1,1,0,1
"408",0,0,0,0,1,0,1
"409",0,0,0,1,1,0,1
"410",1,0,0,1,1,0,0
"411",1,0,0,1,1,0,1
"412",0,0,1,0,1,0,1
"413",1,0,1,1,1,0,0
"414",1,1,1,1,1,0,1
"415",0,0,1,1,1,1,1
"416",1,0,0,1,1,0,1
"417",0,1,0,0,1,1,0
"418",0,1,1,1,0,1,1
"419",0,0,0,1,1,0,1
"420",0,0,1,1,1,0,0
"421",0,0,1,1,1,0,1
"422",0,1,0,1,1,0,1
"423",1,0,1,1,1,0,0
"424",1,0,1,1,1,0,1
"425",1,0,1,1,1,0,0
"426",0,0,0,1,1,1,0
"427",1,0,1,1,1,0,0
"428",0,1,1,0,0,1,0
"429",1,0,1,1,1,0,0
"430",0,0,1,1,1,0,1
"431",1,0,0,0,1,0,0
"432",0,1,0,1,1,0,1
"433",1,0,1,0,0,0,1
"434",1,0,1,1,1,0,1
"435",0,1,0,1,1,0,1
"436",1,0,0,1,1,0,1
"437",0,0,1,0,1,0,0
"438",0,1,0,0,0,0,0
"439",0,0,0,1,1,0,1
"440",1,0,1,1,1,0,1
"441",1,0,1,1,1,0,1
"442",1,0,1,1,1,0,1
"443",0,0,1,1,0,0,0
"444",0,0,1,1,1,0,0
"445",0,1,0,1,1,0,0
"446",0,0,1,1,1,0,1
"447",0,0,0,0,1,0,1
"448",1,0,1,1,1,0,1
"449",0,0,0,1,0,0,1
"450",0,1,1,0,1,0,1
"451",0,0,1,1,0,0,1
"452",0,0,1,1,0,0,0
"453",0,0,0,1,1,0,1
"454",1,0,0,1,1,0,1
"455",0,1,1,0,1,1,1
"456",1,0,1,1,0,0,0
"457",1,0,1,1,1,0,1
"458",0,0,0,1,1,0,1
"459",0,0,1,1,1,0,1
"460",1,0,0,1,0,0,1
"461",1,0,1,1,1,0,1
"462",0,0,0,1,1,1,1
"463",1,0,1,1,1,0,1
"464",1,0,0,0,1,0,1
"465",0,0,0,1,1,0,1
"466",0,0,0,1,0,1,0
"467",1,0,1,1,1,0,0
"468",1,0,1,1,1,0,1
"469",0,0,0,1,1,0,1
"470",1,0,1,1,1,0,1
"471",0,0,0,1,1,0,1
"472",0,1,1,1,1,0,0
"473",0,0,1,1,0,0,0
"474",0,0,0,1,1,0,0
"475",1,0,1,1,0,0,1
"476",0,0,1,1,1,0,1
"477",0,0,0,1,1,0,0
"478",0,0,1,1,1,0,0
"479",0,0,1,1,0,0,1
"480",0,0,1,1,0,0,1
"481",0,1,1,1,0,1,1
"482",0,0,0,1,0,0,1
"483",0,0,1,1,1,0,1
"484",0,1,0,0,0,1,1
"485",0,0,0,1,1,0,0
"486",0,0,0,1,1,0,1
"487",1,0,1,0,1,0,0
"488",0,0,0,1,1,0,1
"489",1,0,0,1,1,0,1
"490",0,0,0,1,0,0,1
"491",0,0,0,1,1,1,1
"492",0,0,1,1,0,0,0
"493",1,0,0,1,1,0,0
"494",0,0,0,1,1,0,1
"495",0,0,1,1,1,0,0
"496",0,0,1,1,0,0,0
"497",1,0,0,1,1,0,1
"498",0,1,1,1,1,0,1
"499",0,0,0,1,0,0,1
"500",1,0,1,1,1,0,0
"501",1,0,1,1,1,0,1
"502",0,0,0,1,0,0,0
"503",0,1,0,0,1,1,0
"504",1,0,1,0,1,0,0
"505",1,0,0,1,1,0,1
"506",0,1,1,0,1,0,1
"507",1,1,0,1,1,1,1
"508",0,0,0,1,1,0,1
"509",1,0,1,1,1,0,1
"510",0,1,1,1,0,1,0
"511",0,0,1,1,1,0,0
"512",1,0,0,1,1,0,1
"513",1,0,1,1,1,0,0
"514",0,0,1,1,0,0,0
"515",1,0,1,1,1,0,1
"516",0,0,1,1,1,1,0
"517",0,1,0,0,0,1,0
"518",0,0,0,0,1,0,1
"519",0,0,0,1,1,0,0
"520",0,0,1,1,1,0,1
"521",1,0,0,1,1,0,0
"522",0,0,1,1,0,0,0
"523",1,1,0,1,0,0,1
"524",1,0,1,1,0,0,0
"525",1,0,1,0,1,0,1
"526",0,0,0,1,1,0,1
"527",0,1,0,0,0,0,0
"528",0,1,1,1,1,1,1
"529",1,0,1,1,1,0,0
"530",0,0,0,1,1,0,0
"531",0,0,1,1,1,0,0
"532",1,0,0,1,1,0,1
"533",0,0,1,1,0,1,0
"534",1,0,0,1,1,1,1
"535",0,0,1,1,1,0,1
"536",1,1,1,1,1,1,0
"537",0,0,0,1,1,0,1
"538",0,0,1,1,1,0,0
"539",0,0,1,1,1,0,1
"540",0,0,0,1,1,0,1
"541",1,0,0,0,0,0,1
"542",0,0,0,1,0,0,0
"543",1,0,1,1,0,0,1
"544",1,0,0,0,1,0,1
"545",0,0,0,0,0,1,1
"546",1,0,0,1,1,0,1
"547",0,1,1,1,0,0,1
"548",0,0,1,1,1,0,1
"549",0,0,0,1,0,0,1
"550",0,0,0,1,0,0,0
"551",1,0,0,1,1,0,1
"552",0,0,1,1,1,1,1
"553",0,0,0,1,0,0,1
"554",0,0,1,1,1,0,0
"555",0,0,0,0,0,1,1
"556",1,1,0,1,1,0,1
"557",1,0,1,1,0,0,1
"558",0,1,0,1,0,1,1
"559",0,0,0,1,1,0,1
"560",0,1,0,1,1,0,1
"561",1,0,0,1,1,0,1
"562",0,0,0,1,1,0,0
"563",1,1,0,0,1,0,1
"564",0,1,0,1,0,1,0
"565",1,0,0,1,1,1,1
"566",0,1,0,0,1,0,0
"567",0,0,1,1,1,0,1
"568",1,0,0,1,1,0,1
"569",1,0,1,1,1,0,1
"570",0,1,0,1,0,1,1
"571",1,0,0,1,0,0,0
"572",0,0,1,0,0,0,0
"573",0,0,0,0,1,0,1
"574",0,0,0,1,0,0,1
"575",1,0,0,0,1,0,1
"576",0,1,1,1,1,0,1
"577",0,0,0,1,1,1,1
"578",0,0,0,1,0,0,1
"579",0,1,0,1,0,0,1
"580",1,0,0,0,0,0,1
"581",1,0,1,1,1,0,1
"582",1,0,1,0,0,0,0
"583",0,1,0,1,0,1,0
"584",0,1,1,1,1,0,0
"585",0,0,1,1,1,0,0
"586",1,0,0,1,0,1,0
"587",0,0,0,1,1,1,1
"588",1,0,1,1,0,0,1
"589",0,0,1,0,0,0,1
"590",1,1,0,1,1,0,0
"591",0,0,0,1,1,1,0
"592",1,0,1,1,1,0,1
"593",0,0,1,0,0,0,1
"594",1,0,1,1,1,0,1
"595",0,1,1,1,1,0,0
"596",0,0,1,1,1,0,0
"597",1,0,1,1,1,0,0
"598",1,0,0,1,1,0,1
"599",0,0,0,1,0,0,1
"600",1,0,0,1,1,0,1
"601",1,1,1,1,1,1,0
"602",0,1,0,0,1,0,1
"603",0,0,0,0,1,1,1
"604",0,0,1,0,1,0,1
"605",0,1,1,1,1,1,1
"606",1,0,1,1,0,0,0
"607",0,0,0,1,0,0,1
"608",1,0,1,1,1,0,1
"609",1,0,1,1,1,0,1
"610",1,0,0,1,1,0,1
"611",1,0,1,1,1,0,1
"612",0,1,1,1,1,0,0
"613",1,0,0,1,1,0,1
"614",0,0,0,1,1,0,1
"615",0,0,0,1,1,0,0
"616",0,1,1,1,1,0,0
"617",0,0,0,1,0,0,0
"618",0,0,0,1,1,1,0
"619",1,0,1,0,0,0,0
"620",0,1,0,0,1,0,1
"621",0,0,0,1,1,0,1
"622",0,0,1,1,1,1,1
"623",0,1,0,1,0,0,1
"624",0,0,1,0,1,0,0
"625",1,0,1,1,1,0,1
"626",1,0,1,1,1,0,1
"627",0,0,1,1,1,0,0
"628",1,0,1,1,1,0,1
"629",0,0,0,1,0,0,1
"630",0,0,0,1,1,0,0
"631",0,0,1,1,1,1,0
"632",0,1,0,1,1,0,1
"633",0,0,0,0,0,0,0
"634",0,0,1,1,1,0,1
"635",1,0,1,1,1,0,1
"636",1,0,1,1,1,1,1
"637",0,0,1,1,1,1,1
"638",0,0,0,1,1,0,1
"639",0,1,1,0,1,0,1
"640",1,0,1,1,1,0,0
"641",0,0,0,0,1,0,1
"642",0,0,1,0,1,0,1
"643",1,1,0,1,1,0,1
"644",1,0,1,1,0,0,1
"645",0,0,0,1,1,1,1
"646",1,0,1,1,0,0,1
"647",0,0,0,1,1,0,0
"648",1,0,0,0,1,0,1
"649",1,0,0,1,1,1,0
"650",0,0,0,0,1,0,0
"651",0,1,1,1,1,0,0
"652",0,0,0,0,0,1,1
"653",1,0,1,1,1,0,1
"654",1,0,0,1,1,0,1
"655",0,0,0,0,0,0,0
"656",1,0,0,1,1,0,0
"657",1,0,1,1,1,0,0
"658",1,0,1,1,1,0,0
"659",0,0,1,0,1,1,1
"660",0,1,1,1,0,1,0
"661",0,0,0,1,1,0,1
"662",0,0,0,1,1,0,1
"663",0,0,1,1,0,0,1
"664",0,0,0,1,0,0,1
"665",1,1,1,0,1,0,0
"666",1,0,1,1,1,0,1
"667",0,0,0,1,1,0,1
"668",1,1,0,1,0,0,0
"669",0,0,1,0,0,0,0
"670",0,0,1,0,1,0,1
"671",0,1,0,1,0,0,1
"672",1,0,1,1,1,0,1
"673",0,1,0,1,1,0,1
"674",1,0,0,1,1,0,1
"675",1,1,1,1,1,0,1
"676",0,0,0,0,1,0,1
"677",1,0,0,0,1,0,1
"678",1,0,0,1,1,0,1
"679",0,0,0,1,1,0,0
"680",1,0,0,1,1,0,1
"681",0,0,0,0,1,0,1
"682",0,0,0,0,1,0,0
"683",1,0,0,0,1,0,1
"684",1,0,0,1,1,0,1
"685",0,0,1,1,1,0,1
"686",0,0,1,1,1,0,0
"687",1,0,1,0,0,0,0
"688",0,0,1,0,0,0,0
"689",1,0,1,1,1,0,1
"690",1,0,1,1,0,0,0
"691",0,0,0,1,1,0,1
"692",1,0,1,1,1,0,1
"693",0,0,0,0,0,0,0
"694",1,0,1,1,1,0,1
"695",0,0,0,0,1,1,1
"696",0,1,1,1,1,0,0
"697",1,0,0,1,1,0,1
"698",0,0,0,1,0,0,1
"699",0,0,0,1,0,0,1
"700",0,0,1,1,1,0,0
"701",0,1,0,0,1,0,1
"702",0,0,0,1,1,0,1
"703",0,0,0,1,0,1,1
"704",1,1,1,1,0,1,0
"705",1,0,1,1,1,0,0
"706",0,0,1,1,0,1,1
"707",0,0,0,1,1,0,0
"708",1,0,1,1,1,0,1
"709",0,0,1,1,0,0,0
"710",0,0,0,1,1,0,1
"711",0,0,0,1,0,0,0
"712",0,0,1,1,1,0,1
"713",0,1,0,0,1,0,0
"714",0,0,0,0,1,0,1
"715",1,0,0,1,1,0,1
"716",0,0,1,1,1,0,1
"717",0,0,0,0,0,0,0
"718",1,0,1,1,1,0,1
"719",0,0,1,1,0,0,0
"720",0,0,0,0,0,0,1
"721",0,0,1,1,1,0,1
"722",0,0,1,1,0,0,1
"723",0,0,1,1,1,0,1
"724",0,0,0,1,0,0,0
"725",1,0,1,1,0,0,1
"726",0,0,1,1,0,0,1
"727",0,1,1,1,1,1,1
"728",1,1,1,1,0,0,0
"729",0,0,1,0,1,1,0
"730",0,1,0,1,1,0,1
"731",1,0,1,1,1,0,1
"732",0,1,0,0,0,0,0
"733",1,0,0,1,1,0,1
"734",0,1,0,1,1,1,0
"735",0,0,0,1,1,0,1
"736",0,0,1,1,0,0,1
"737",1,1,0,1,0,0,0
"738",1,0,0,1,1,0,1
"739",1,0,1,1,0,0,1
"740",0,1,1,0,0,0,1
"741",0,0,0,1,0,1,1
"742",1,0,0,1,1,0,1
