"","V7118","V8502","V8512","V8509","V8530","V7215"
"212",1,0,0,0,0,0
"213",0,0,0,0,0,0
"214",0,0,0,0,0,0
"215",0,0,0,0,0,0
"216",1,0,0,0,0,1
"217",1,0,0,0,0,1
"218",1,0,1,0,0,0
"219",1,1,1,1,0,0
"220",0,0,0,0,0,0
"221",1,0,0,0,0,1
"222",0,0,0,0,0,1
"223",1,0,0,0,0,0
"224",0,0,0,0,0,0
"225",0,0,1,0,1,0
"226",1,0,0,0,0,1
"227",1,0,1,0,0,1
"228",1,0,0,1,1,0
"229",0,0,0,0,0,0
"230",1,0,0,0,0,1
"231",0,0,0,0,0,1
"232",0,0,1,0,0,0
"233",1,0,0,0,0,0
"234",0,0,1,0,1,1
"235",1,0,0,0,0,0
"236",1,0,0,0,0,0
"237",0,0,0,0,0,0
"238",1,0,1,0,0,0
"239",1,0,0,0,0,0
"240",1,0,0,0,0,0
"241",0,0,1,0,0,1
"242",1,0,0,0,0,1
"243",1,0,1,0,0,1
"244",0,0,1,0,1,1
"245",0,0,0,0,0,0
"246",0,0,0,0,0,1
"247",0,0,0,0,0,0
"248",1,0,0,0,0,1
"249",0,0,0,0,0,1
"250",1,0,0,0,0,0
"251",0,0,0,0,0,1
"252",1,1,0,1,0,0
"253",0,0,0,0,0,0
"254",0,0,0,0,0,0
"255",1,0,0,0,0,0
"256",1,0,0,0,0,1
"257",1,0,1,0,0,0
"258",1,0,1,0,0,1
"259",1,1,1,0,1,1
"260",0,0,1,0,1,1
"261",0,0,1,0,1,0
"262",1,0,0,0,0,0
"263",0,0,0,0,0,0
"264",1,0,0,0,0,0
"265",0,0,0,0,0,0
"266",1,0,1,0,0,1
"267",1,0,1,0,0,1
"268",1,1,1,1,0,0
"269",1,0,1,0,0,0
"270",0,0,0,0,0,0
"271",0,0,0,0,0,1
"272",0,0,1,0,0,0
"273",0,0,1,0,1,1
"274",0,0,0,0,0,0
"275",1,1,1,1,0,0
"276",1,1,0,0,0,1
"277",0,0,0,0,0,1
"278",0,0,1,0,1,1
"279",1,0,1,0,1,0
"280",0,0,0,0,0,1
"281",1,0,0,0,0,1
"282",0,0,0,0,0,0
"283",0,1,0,0,0,1
"284",0,0,1,0,1,1
"285",1,0,0,0,0,1
"286",0,0,0,0,1,0
"287",1,0,0,0,0,1
"288",0,0,1,0,1,1
"289",0,0,1,0,1,1
"290",0,1,0,0,1,1
"291",1,0,0,0,0,1
"292",0,0,0,0,0,0
"293",1,0,0,0,0,0
"294",1,0,0,0,0,0
"295",1,1,0,1,1,1
"296",0,0,0,0,0,0
"297",0,0,0,0,0,0
"298",1,0,0,0,0,0
"299",1,0,1,1,0,0
"300",1,0,0,0,0,0
"301",1,0,0,0,0,1
"302",0,0,1,0,1,1
"303",1,1,0,0,0,0
"304",1,0,0,0,0,0
"305",1,0,0,0,0,0
"306",1,0,0,0,0,0
"307",1,0,0,0,0,0
"308",1,0,0,1,1,0
"309",0,0,0,0,0,0
"310",0,0,1,0,0,1
"311",1,0,1,0,1,1
"312",1,0,0,0,0,0
"313",1,0,1,0,1,1
"314",0,0,0,0,0,1
"315",0,0,1,0,1,1
"316",1,0,0,0,0,0
"317",0,0,1,0,0,1
"318",1,0,0,0,0,1
"319",0,0,0,0,0,0
"320",0,1,1,1,0,0
"321",1,0,0,0,0,1
"322",1,0,0,0,0,1
"323",1,0,1,0,0,1
"324",0,0,0,0,0,0
"325",0,0,1,0,1,1
"326",0,0,0,1,1,1
"327",1,0,0,0,0,0
"328",1,0,1,0,0,0
"329",1,0,0,0,0,0
"330",1,0,0,0,0,1
"331",0,0,0,0,0,1
"332",1,0,1,0,1,1
"333",1,0,0,0,0,0
"334",1,0,0,0,0,0
"335",0,0,0,0,0,0
"336",1,0,0,0,0,1
"337",1,0,1,0,0,1
"338",0,0,0,0,0,0
"339",1,1,1,0,0,0
"340",1,0,1,0,1,1
"341",1,0,0,0,0,1
"342",0,0,0,0,0,1
"343",1,0,0,0,0,0
"344",0,0,0,0,0,0
"345",0,0,0,0,0,1
"346",0,0,1,0,1,1
"347",0,0,0,0,0,1
"348",0,0,0,0,0,0
"349",0,0,0,0,0,0
"350",0,0,0,0,0,1
"351",1,0,0,0,0,0
"352",1,0,0,0,0,0
"353",0,0,1,0,0,0
"354",1,0,0,0,0,0
"355",0,0,0,0,0,0
"356",1,0,0,1,0,1
"357",1,0,0,0,0,0
"358",1,0,0,0,0,0
"359",1,0,1,0,0,1
"360",1,0,0,0,0,0
"361",0,0,0,0,0,0
"362",0,1,1,1,0,0
"363",1,0,1,0,0,1
"364",1,0,0,0,0,1
"365",0,0,1,0,1,1
"366",1,0,0,0,0,0
"367",0,0,0,0,0,0
"368",0,0,0,0,0,0
"369",0,0,0,0,0,0
"370",1,0,0,0,0,1
"371",1,0,1,0,0,1
"372",1,0,0,0,0,1
"373",1,0,0,0,0,0
"374",0,0,1,0,1,1
"375",0,0,0,0,0,0
"376",1,1,0,1,0,1
"377",1,0,0,0,0,0
"378",0,0,0,0,0,0
"379",0,1,1,1,1,1
"380",1,0,0,0,0,0
"381",1,0,0,0,0,0
"382",1,0,0,0,0,1
"383",0,0,1,0,1,0
"384",0,0,1,0,0,1
"385",0,0,0,0,0,0
"386",0,0,0,0,0,0
"387",1,0,1,0,0,0
"388",1,0,0,0,0,1
"389",1,0,0,0,0,1
"390",1,0,0,0,0,1
"391",0,0,0,0,0,0
"392",0,0,1,0,0,1
"393",1,0,0,0,0,0
"394",0,0,0,0,0,0
"395",1,0,0,0,0,0
"396",0,0,0,0,0,0
"397",1,1,0,0,0,0
"398",0,0,0,0,0,0
"399",1,0,0,0,0,0
"400",1,0,0,0,0,1
"401",0,0,0,0,1,1
"402",1,0,0,0,0,1
"403",1,0,0,0,0,1
"404",1,0,0,0,0,0
"405",0,0,0,0,0,0
"406",1,0,0,0,0,1
"407",1,0,0,0,0,0
"408",0,0,0,0,0,0
"409",1,1,0,1,0,0
"410",1,0,0,0,0,1
"411",1,0,0,0,0,1
"412",1,0,0,0,0,1
"413",1,0,0,0,0,0
"414",0,0,0,0,0,0
"415",0,0,0,0,0,1
"416",1,1,0,1,0,0
"417",1,0,0,0,0,0
"418",1,0,1,0,1,1
"419",0,0,0,0,0,0
"420",0,0,0,0,0,1
"421",1,0,1,0,0,0
"422",0,0,0,0,0,0
"423",1,0,0,0,0,1
"424",0,0,0,0,0,0
"425",1,0,0,0,0,1
"426",1,1,0,1,0,0
"427",0,1,1,0,1,0
"428",1,0,1,0,1,0
"429",1,0,0,0,0,1
"430",1,1,0,0,0,0
"431",1,0,0,0,0,0
"432",0,0,0,0,0,0
"433",1,0,0,0,0,0
"434",0,0,1,0,1,0
"435",0,0,0,0,0,0
"436",0,0,0,0,0,0
"437",1,0,0,0,0,1
"438",1,0,0,0,0,0
"439",1,0,0,0,0,0
"440",1,0,0,0,0,1
"441",0,0,0,0,0,1
"442",1,1,0,1,0,1
"443",1,0,0,0,0,1
"444",1,0,0,0,0,1
"445",0,0,0,0,0,0
"446",1,0,0,0,0,0
"447",0,0,1,0,0,1
"448",1,1,1,1,0,1
"449",0,0,1,0,1,1
"450",1,0,0,0,0,0
"451",1,0,1,0,0,1
"452",1,0,0,0,0,0
"453",0,0,0,0,0,0
"454",1,0,1,1,0,0
"455",0,0,0,0,0,1
"456",1,0,0,0,0,0
"457",1,0,0,0,0,0
"458",0,0,0,0,0,0
"459",0,0,0,0,0,0
"460",0,0,0,0,1,1
"461",1,1,0,1,0,0
"462",1,1,1,0,0,1
"463",1,0,1,0,0,1
"464",0,0,0,0,0,0
"465",0,0,1,0,0,1
"466",0,1,0,1,0,0
"467",1,0,0,0,0,0
"468",1,0,0,0,0,0
"469",1,0,1,0,1,1
"470",0,0,0,0,0,1
"471",0,0,0,0,0,0
"472",1,0,0,0,0,1
"473",1,0,0,0,0,1
"474",0,0,0,0,0,1
"475",1,0,0,0,0,1
"476",0,0,0,0,0,0
"477",1,0,1,0,0,1
"478",1,1,1,1,0,1
"479",0,0,1,0,1,1
"480",1,0,0,0,0,0
"481",0,0,0,0,0,0
"482",0,1,1,1,0,1
"483",0,0,1,0,0,1
"484",0,0,0,0,0,1
"485",1,0,0,0,0,0
"486",1,0,1,0,0,0
"487",1,1,0,0,0,0
"488",0,0,0,0,0,0
"489",1,0,1,0,0,0
"490",1,0,0,0,0,1
"491",0,0,0,0,0,1
"492",0,0,0,0,0,0
"493",0,1,0,1,1,0
"494",0,0,0,0,0,0
"495",1,0,0,0,0,0
"496",0,0,1,0,0,1
"497",0,0,0,0,0,0
"498",1,0,0,0,0,1
