"","V8512","V7215","V8526","V7202","V7206","V8527","V8509","freq","pred"
"104",1,1,0,0,1,1,1,0.0017,0.4677
"105",1,1,0,1,0,0,0,0.007,0.5203
"106",1,1,0,1,0,0,1,0.0018,0.4053
"107",1,1,0,1,0,1,0,0.0065,0.6158
"108",1,1,0,1,0,1,1,0.001,0.5019
"109",1,1,0,1,1,0,0,0.0164,0.638
"110",1,1,0,1,1,0,1,0.0018,0.5255
"111",1,1,0,1,1,1,0,0.03,0.7226
"112",1,1,0,1,1,1,1,0.002,0.6208
"113",1,1,1,0,0,0,0,0.005,0.4791
"114",1,1,1,0,0,0,1,8e-04,0.3663
"115",1,1,1,0,0,1,0,0.0161,0.5762
"116",1,1,1,0,0,1,1,0.0021,0.4608
"117",1,1,1,0,1,0,0,0.0231,0.5991
"118",1,1,1,0,1,0,1,0.0019,0.4843
"119",1,1,1,0,1,1,0,0.0934,0.6884
"120",1,1,1,0,1,1,1,0.0059,0.5813
"121",1,1,1,1,0,0,0,0.0048,0.6315
"122",1,1,1,1,0,0,1,7e-04,0.5186
"123",1,1,1,1,0,1,0,0.0134,0.717
"124",1,1,1,1,0,1,1,0.0011,0.6142
"125",1,1,1,1,1,0,0,0.0131,0.7358
"126",1,1,1,1,1,0,1,0.0011,0.6364
"127",1,1,1,1,1,1,0,0.0789,0.8046
"128",1,1,1,1,1,1,1,0.0039,0.7212
