"","V7221","V8509","V8527","V7206","V8512","V8526"
"1",0,0,0,1,1,0
"2",0,1,0,0,0,0
"3",0,0,1,1,1,0
"4",0,0,0,1,0,1
"5",1,0,1,1,1,1
"6",0,0,1,1,1,1
"7",0,0,1,1,0,1
"8",1,1,1,1,1,1
"9",1,0,1,1,1,1
"10",1,0,1,1,1,1
"11",1,1,0,1,0,0
"12",0,0,1,1,1,0
"13",0,0,0,1,0,1
"14",1,1,1,1,0,0
"15",1,0,1,1,0,0
"16",0,0,1,1,1,1
"17",1,0,0,1,1,0
"18",1,0,1,1,0,1
"19",1,0,1,1,1,1
"20",0,1,1,1,0,1
"21",1,0,1,0,1,1
"22",1,0,0,1,1,1
"23",1,0,1,1,1,1
"24",1,1,1,1,0,1
"25",0,1,0,1,1,0
"26",0,1,0,1,0,0
"27",0,0,0,0,1,1
"28",1,0,0,1,1,1
"29",0,0,0,1,1,1
"30",1,0,1,1,1,0
"31",0,0,1,1,1,1
"32",0,0,1,1,1,1
"33",0,1,1,0,1,1
"34",0,0,0,1,1,0
"35",1,0,1,1,1,1
"36",0,0,0,1,1,1
"37",1,0,0,1,1,1
"38",1,0,1,1,1,1
"39",0,0,1,1,0,0
"40",0,0,1,1,1,1
"41",0,1,1,0,0,0
"42",1,0,1,1,0,1
"43",1,1,0,1,0,1
"44",1,0,1,1,1,1
"45",1,0,0,0,1,1
"46",0,0,1,0,0,0
"47",1,0,0,0,1,1
"48",1,0,1,1,1,1
"49",0,0,0,1,0,0
"50",0,0,1,0,0,0
"51",1,0,0,0,1,1
"52",1,0,1,1,1,1
"53",0,0,1,1,1,1
"54",0,0,1,0,1,1
"55",1,1,1,0,0,1
"56",0,0,1,1,0,0
"57",1,0,1,1,1,1
"58",1,0,1,1,1,0
"59",0,0,1,1,1,1
"60",1,0,1,1,1,1
"61",1,0,0,1,0,1
"62",1,0,0,0,1,1
"63",1,0,1,1,1,1
"64",1,0,0,1,1,0
"65",1,1,1,1,0,1
"66",1,0,0,1,0,0
"67",0,1,1,1,0,0
"68",1,0,0,1,1,0
"69",1,0,1,1,1,1
"70",1,0,1,1,1,1
"71",1,0,1,1,1,0
"72",0,0,0,1,1,0
"73",1,0,1,1,1,1
"74",0,1,0,1,0,0
"75",0,0,1,0,1,0
"76",0,0,0,1,1,1
"77",1,0,1,0,1,0
"78",1,0,1,1,1,1
"79",1,0,1,1,1,1
"80",1,0,1,1,1,1
"81",0,0,1,1,1,1
"82",1,0,1,1,1,1
"83",0,0,0,1,1,0
"84",1,0,0,1,1,0
"85",1,0,1,1,1,0
"86",0,1,1,0,1,0
"87",1,0,0,1,1,1
"88",0,1,0,0,1,1
"89",1,0,1,1,1,1
"90",1,0,1,1,1,1
"91",1,0,0,0,1,0
"92",0,1,1,0,0,0
"93",1,0,1,1,1,0
"94",0,0,1,1,1,1
"95",1,0,0,1,1,0
"96",0,0,0,1,0,1
"97",0,0,1,1,0,1
"98",0,0,0,0,1,0
"99",0,0,0,1,1,1
"100",0,0,1,1,0,1
"101",0,0,1,1,1,0
"102",1,0,1,1,1,1
"103",1,0,0,1,1,0
"104",1,0,1,1,1,1
"105",0,0,1,1,1,1
"106",1,0,1,1,1,1
"107",1,0,1,1,1,0
"108",1,0,0,0,1,0
"109",0,0,0,1,1,0
"110",0,0,0,1,1,1
"111",1,0,0,1,1,0
"112",1,0,1,1,1,0
"113",0,0,1,1,1,1
"114",0,0,0,1,1,0
"115",1,0,1,1,1,1
"116",0,1,0,0,0,1
"117",0,0,0,1,1,1
"118",1,0,1,0,1,1
"119",0,0,1,1,1,1
"120",0,1,0,0,0,0
"121",0,0,1,0,0,1
"122",1,0,1,1,1,1
"123",1,0,0,1,0,1
"124",1,0,1,1,1,1
"125",0,1,0,1,0,1
