"","V507 0","V7101 1","V7104 1","V7112 1","V7115 1","V7118 1","V7127 1","V7097 1","V7133 1","V7139 1","V7142 1","V8451 1","V7426 1","V7121 1","V7124 1","V7164 1","V7145 1","V7109 1","V7152 1","V7155 1","V7158 1","V7161 1","V7601 1","V8480 1","V7221 2","V7552 4","V7551 2","V8512 3","V8502 3","V8505 3","V8509 3","V8514 3","V8536 3","V7501 3","V7507 3","V8565 3","V7202 0","V7215 2","V7206 0","V8517 1","V8526 3","V8527 3","V8528 3","V8529 3","V8530 3","V8531 3","V7112D NA"
"V7142",0.0112330393683888,0.140306770743098,0.140190744295598,0.138353638186781,0.150223601722856,0.160852206233897,0.166219794488239,0.00497446159565992,0.171970632403655,0.515965370211881,1,0.276030173675017,-0.338004568486101,0.180417784666823,0.177425562701304,-0.184647990133145,0.231212876558202,0.118402622202128,-0.0313299179354594,-0.0323176420028853,0.236693977386526,0.220449056898472,-0.568114878062292,0.275450786317836,0.0913477239698379,0.804684057091933,-0.525872179781499,0.387847855894357,0.402333101927655,0.389086489022916,0.396634486404203,0.388319813329411,0.274984033333196,0.200707865615312,0.197741914560831,0.281373129996262,0.1320887874497,0.123454738995718,0.11220192691095,0.278260400069394,0.27128558664419,0.272578919982237,0.270791812304065,0.273019074399635,0.269973344875451,0.275656259697067,0.138353638186781
"V8451",0.00237662842348786,0.0933727801040034,0.193025085938566,0.10364348562278,0.0465535877314381,0.0483937132289756,0.0800291525404311,-0.243517298551561,0.0681403311075304,0.154347265700066,0.276030173675017,1,-0.488397420093647,0.0436659114106264,0.0521892359669438,0.353061674008763,0.0575803349831951,0.116845369988888,-0.308520200970064,-0.30820457882954,0.0558837537311799,-0.246740876306179,-0.386850781476775,0.939949344497599,0.0419951147264019,0.303487633552577,-0.344704769683267,0.566595441466064,0.583502306392701,0.57300858136341,0.574450019301907,0.566891805116887,0.782673055172631,-0.231900493788344,-0.22946456786828,0.802196942618073,0.045944274348542,0.0487504308375927,0.0451730765371623,0.7740046694971,0.779338286480076,0.783728617224458,0.778913680643176,0.784573026859052,0.777514524476247,0.787215305685938,0.10364348562278
"V7426",0.00631802839750691,0.100611079031269,0.0829598993254428,0.0885644041473469,0.0767081702076687,0.0937280976321463,0.084014059016054,0.278149426167054,0.0886412780966264,-0.351553974462139,-0.338004568486101,-0.488397420093647,1,0.0800833680802615,0.0884567764377283,0.115043150556631,0.0877387945046679,0.0775259771234349,0.308710337372849,0.30892887879709,0.0923119543099386,-0.375607667324796,0.632662435093558,-0.488089618485268,0.0606742338097999,-0.43876984716764,0.607436625639355,-0.730476718957228,-0.737276637334011,-0.737769737671772,-0.726580652437472,-0.731615790659542,-0.526342923303305,0.392881057481764,0.389993056518707,-0.528381612430652,0.0635618166976022,0.0575139507993167,0.0490332287398652,-0.514627011326693,-0.531752642883445,-0.530777956150845,-0.527206861871201,-0.529869466338567,-0.529374011637684,-0.526788312703517,0.0885644041473469
"V7121",0.00848524518797202,0.25334124202346,0.245337038465366,0.345415413381452,0.608786814650814,0.598556608510602,0.481734052196661,0.307900771021546,0.53123341761822,0.165238313296808,0.180417784666823,0.0436659114106264,0.0800833680802615,1,0.755248003542888,0.16562116603977,0.473205594959776,0.237398053268194,0.351432729266876,0.343420936299526,0.510408994059479,0.0515387167242064,0.0731804879594803,0.0441865135074018,0.207863326116102,0.0406354508673942,0.0350680282018361,0.0582015470098481,0.0620897907713238,0.0576189641607677,0.0635743211908824,0.0574117011481099,0.0330494000491446,0.0342375061231729,0.0332347157974858,0.0404348423070026,0.251247705840026,0.245349891830876,0.210950342200855,0.0351640652424302,0.0288970818517863,0.029656326190988,0.0296737304459686,0.0293061141826326,0.0285701978689296,0.0318478262464056,0.345415413381452
"V7124",0.0214519119630477,0.282209592558632,0.261246409081079,0.362944019303579,0.59793934476459,0.602433792163678,0.492026753193974,0.309259875610721,0.541293243999273,0.171716731646132,0.177425562701304,0.0521892359669438,0.0884567764377283,0.755248003542888,1,0.172583440791523,0.440426203592135,0.251007896348534,0.324907029948427,0.323446988988651,0.479770206165994,0.0469495728220406,0.0709069746461177,0.0525850364616891,0.173241779337679,0.0393170824897373,0.0346597574187194,0.05361840206201,0.0585610184168957,0.0518307722003278,0.0605425738471722,0.0518980633227625,0.0286879301182926,0.0324564555917268,0.0324380501155048,0.0372507633107706,0.228616709109936,0.217822305213305,0.184982672037812,0.0366916246401506,0.0240887200960315,0.0258184665859057,0.0264402431876684,0.0254118804837111,0.0245155149766076,0.0289097074076808,0.362944019303579
"V7164",0.0122713171065936,0.0655047770868648,0.0614970751233362,0.105667439313896,0.169447263708696,0.169719838466646,0.15943758930371,-0.0589106317011211,0.171276573796254,0.0107488764549251,-0.184647990133145,0.353061674008763,0.115043150556631,0.16562116603977,0.172583440791523,1,0.219436334149021,0.0554388755702292,-0.0860206640147549,-0.0871877821075946,0.228774047833934,-0.626106615225528,-0.0506485631233309,0.353600675502123,0.0921332809487462,-0.28038244974827,-0.0444248510703425,-0.0765635405575447,-0.0720964998362481,-0.0758137599745768,-0.0705124659616645,-0.077285621070106,0.363311021597548,0.247132075319306,0.243986796638359,0.368596540966777,0.127295265189761,0.117222259202862,0.0996782948844094,0.360991019920864,0.364038570420839,0.365054802533637,0.362716744681191,0.364238586567662,0.362537512893497,0.364400560167621,0.105667439313896
"V7145",0.00498273092368949,0.15336752132327,0.161389915570056,0.217733919594685,0.37800432030852,0.380229054179323,0.360149262544601,0.234961305554818,0.420066994556042,0.123810886193437,0.231212876558202,0.0575803349831951,0.0877387945046679,0.473205594959776,0.440426203592135,0.219436334149021,1,0.156413457119075,0.260377332440696,0.261056594122521,0.744676493536577,0.0657570905262412,0.107885513097816,0.0573500253613307,0.340229391104921,0.0337160691967225,0.0544133279587463,0.075868994916196,0.0764321695675027,0.0749307156516038,0.0793600673435516,0.0747222853671963,0.0472053231949535,0.0310346492647343,0.031235306502955,0.0573139661389357,0.402840484146773,0.393595480939155,0.345919054499346,0.0483900035454076,0.0456704592030195,0.0468540384144393,0.0457899416284215,0.0473504967266828,0.0455867024721683,0.0473390736659021,0.217733919594685
"V7109",-0.0122572553794883,0.330357298441633,0.640721709470236,0.41127712921972,0.271495385298584,0.275002909764628,0.271719859478925,0.169922474311186,0.260219369695927,0.103344863589561,0.118402622202128,0.116845369988888,0.0775259771234349,0.237398053268194,0.251007896348534,0.0554388755702292,0.156413457119075,1,0.131086245663752,0.129928092774461,0.162615274661799,0.0213171890397042,0.0166757246941377,0.117253949695858,0.062133814650659,0.0519639090599189,0.0226917763656865,0.0250162322880957,0.0352396188938791,0.0231006391402948,0.034905769295765,0.0254205843511168,0.0125904065812128,0.0278358628175826,0.0273022808626632,0.0160743754045711,0.107392945498883,0.0810287247472954,0.0905966450484599,0.0220350031196393,0.00457563085855272,0.00990395731468029,0.00952829733512304,0.010817989379287,0.00388846986826277,0.0177071804092494,0.41127712921972
"V7152",-0.00165793579227762,0.131222165593927,0.135854854923587,0.160207839223797,0.277295783561325,0.284373861730492,0.231605726200652,0.81015307502848,0.28455467792461,0.411405972550612,-0.0313299179354594,-0.308520200970064,0.308710337372849,0.351432729266876,0.324907029948427,-0.0860206640147549,0.260377332440696,0.131086245663752,1,0.954910844735591,0.280736980702217,0.162440869340791,0.252535861588967,-0.30456451935877,0.127668590167162,-0.144854229443344,0.212424090836792,-0.219667994400796,-0.232824668366309,-0.223522754028985,-0.227282443383155,-0.221195244258421,-0.368040086574896,0.145200497583858,0.144007015948002,-0.361139456802903,0.139969384096182,0.145889345506908,0.120887733925318,-0.349952466134065,-0.366974788120265,-0.366030204406264,-0.365274921538456,-0.364434095744743,-0.362600313679932,-0.367010582527518,0.160207839223797
"V7155",-0.0012838533121432,0.130448452358757,0.134200483972923,0.158297719100759,0.273573899071305,0.282933698808606,0.229189095915647,0.807788068003005,0.281648438795567,0.409376227166848,-0.0323176420028853,-0.30820457882954,0.30892887879709,0.343420936299526,0.323446988988651,-0.0871877821075946,0.261056594122521,0.129928092774461,0.954910844735591,1,0.279768817328536,0.161858324604614,0.2551110340728,-0.303869690995329,0.128254635094457,-0.146199482258162,0.214099552089828,-0.219215703557065,-0.233280150712101,-0.223245453693873,-0.227375791233084,-0.220644405087821,-0.367197886261493,0.14306556446732,0.142160400285703,-0.3606254824331,0.139104482473488,0.145898910580777,0.12148364242708,-0.350200558478833,-0.366008436744153,-0.365005474683081,-0.364297651134082,-0.363522302167268,-0.361548359761149,-0.365993464216873,0.158297719100759
